name*city*height*weight*position*team
Alfano, Antonio*Colonia, NJ (Colonia HS)*6-4*285*DL*alabama
Allen, Christopher*Baton Rouge, LA (Southern Lab HS)*6-4*239*LB*alabama
Amos, Giles*Perry, GA (Westfield HS)*6-4*242*TE*alabama
Armour-Davis, Jalyn*Mobile, AL (St. Paul's Episcopal School)*6-1*181*DB*alabama
Banks, Marcus*Houston, TX (Dekaney HS)*6-0*170*DB*alabama
Barker, Braxton*Birmingham, AL (Spain Park HS)*6-1*195*QB*alabama
Barmore, Christian*Philadelphia, PA (Neumann-Goretti HS)*6-5*292*DL*alabama
Battle, Jordan*Fort Lauderdale, FL (St. Thomas Aquinas HS)*6-1*201*DB*alabama
Baumhower, Wes*Fairhope, AL (Fairhope HS)*6-0*220*LB*alabama
Benton, Markail*Phenix City, AL (Central HS)*6-2*237*LB*alabama
Bernier, Mike*Madison, AL (Bob Jones HS / Eastern Illinois)*--*--*P*alabama
Billingsley, Jahleel*Chicago, IL (Phillips Academy)*6-4*228*TE*alabama
Billingsley, Melvin*Opelika, AL (Opelika HS)*6-3*230*TE*alabama
Bishop, Cooper*Vestavia Hills, AL (Vestavia Hills HS)*6-0*195*RB*alabama
Bolden, Slade*West Monroe, LA (West Monroe HS)*5-11*200*WR*alabama
Bothwell, Landon*Oneonta, AL (Oneonta HS)*5-11*220*DL*alabama
Bowles, Tanner*Glasgow, KY (Glasgow HS)*6-5*280*OL*alabama
Brannon, Hunter*Cullman, AL (Cullman HS)*6-4*290*OL*alabama
Brown, Deonte*Decatur, AL (Austin HS)*6-4*350*OL*alabama
Brown, Tommy*Santa Ana, CA (Mater Dei HS)*6-7*309*OL*alabama
Bulovas, Joseph*Mandeville, LA (Mandeville HS)*6-0*212*K*alabama
Carter, Scooby*Mansfield, TX (Legacy HS)*6-0*186*DB*alabama
Carter, Shyheim*Kentwood, LA (Kentwood HS)*6-0*190*DB*alabama
Cooper, William*Huntsville, AL (Huntsville HS)*6-2*234*LB*alabama
Dalcourt, Darrian*Baltimore, MD (St. Frances Academy)*6-3*292*OL*alabama
Dale, DJ*Pinson, AL (Clay-Chalkville HS)*6-3*308*DL*alabama
Davis, Ben*Gordo, AL (Gordo HS)*6-4*234*LB*alabama
Davis, Raekwon*Meridian, MS (Meridian HS)*6-7*315*DL*alabama
DeLong, Skyler*Fort Mill, SC (Nation Ford HS)*6-4*189*P*alabama
Dickerson, Landon*Hickory, NC (South Caldwell HS / Florida State)*6-5*310*OL*alabama
