name*city*height*weight*position*team
Allen, Davis*Calhoun, GA (Calhoun HS)*6-5*220*TE*clemson
Anchrum, Tremayne*Powder Springs, GA (McEachern HS)*6-3*290*OL*clemson
Banks, J.L.*Bogart, GA (North Oconee HS / Georgia Southern)*6-2*230*TE*clemson
Batson, Ben*Clemson, SC (Dorman HS)*6-1*185*QB*clemson
Becker, Michael*Clemson, SC (D.W. Daniel HS)*6-0*185*DB*clemson
Bentley, LaVonta*Birmingham, AL (Jackson-Olin HS)*6-1*215*LB*clemson
Boateng, Kaleb*Fort Lauderdale, FL (Fort Lauderdale HS)*6-5*305*OL*clemson
Bockhorst, Matt*Cincinnati, OH (St. Xavier HS)*6-5*300*OL*clemson
Booth Jr., Andrew*Dacula, GA (Archer HS)*6-1*180*DB*clemson
Boyd, John*Lilburn, GA (Parkview HS)*6-0*215*LB*clemson
Brice, Chase*Loganville, GA (Grayson HS)*6-3*200*QB*clemson
Brown, Tyler*Greenville, SC (Eastside HS)*6-0*220*LS*clemson
Brown, Will*Boiling Springs, SC (Boiling Springs HS)*5-9*185*WR*clemson
Carman, Jackson*Fairfield, OH (Fairfield HS)*6-6*350*OL*clemson
Cash, Logan*Winder, GA (Winder-Barrow HS)*6-3*255*DL*clemson
Cervenka, Gage*Greenwood, SC (Emerald HS)*6-3*295*OL*clemson
Chalk, J.C.*Argyle, TX (Argyle HS)*6-4*230*TE*clemson
Charleston, Joseph*Milton, GA (Milton HS)*6-2*190*DB*clemson
Chase, T.J.*Plant City, FL (Plant City HS)*6-2*185*WR*clemson
Constantin, Bryton*Baton Rouge, LA (University Lab HS)*6-2*220*LB*clemson
Cote, David*Six Mile, SC (Daniel HS)*6-0*190*LB*clemson
Cote, Peter*Six Mile, SC (Daniel HS)*5-11*170*DB*clemson
Cranford, Mac*Hartsville, SC (Hartsville HS)*6-2*260*OL*clemson
Davis, Tyler*Apopka, FL (Wekiva HS)*6-1*290*DL*clemson
Dawkins Jr., Brian*Parker, CO (Valor Christian HS)*5-9*175*DB*clemson
Dixon, Lyn-J*Butler, GA (Taylor County HS)*5-11*175*RB*clemson
Donnelly, Carson*Birmingham, AL (Briarwood Christian HS)*5-11*170*DB*clemson
Dukes, Michel*North Charleston, SC (First Baptist HS)*5-11*190*RB*clemson
Earle, Hampton*Clemson, SC (D.W. Daniel HS)*5-11*185*WR*clemson
Eddis, Nick*Lawrence, KS (Free State HS)*6-2*250*DL*clemson
Edwards, Jacob*Vestavia Hills, AL (Vestavia Hills HS)*6-3*260*DL*clemson
Edwards, James*Vestavia Hills, AL (Vestavia Hills HS)*6-3*250*DL*clemson
Edwards, Will*Greenville, SC (Wade Hampton HS)*6-5*255*OL*clemson
Etienne, Travis*Jennings, LA (Jennings HS)*5-11*210*RB*clemson
Foster, Justin*Shelby, NC (Crest HS)*6-4*245*DL*clemson
Galloway, Braden*Anderson, SC (Seneca HS)*6-5*225*TE*clemson
Goodrich, Mario*Kansas City, MO (Lee's Summit West HS)*6-2*180*DB*clemson
Greene, Hamp*Birmingham, AL (Mountain Brook HS)*5-10*165*WR*clemson
Groomes, Carter*Central, SC (D.W. Daniel HS)*5-9*180*WR*clemson
Guynup, Chase*Beaufort, SC (Beaufort HS)*6-0*335*OL*clemson
Henry, K.J.*Winston-Salem, NC (West Forsyth HS)*6-5*235*DL*clemson
Herbstreit, Jake*Nashville, TN (Montgomery Bell Academy)*6-0*175*DB*clemson
Herbstreit, Tye*Nashville, TN (Montgomery Bell Academy)*6-0*170*WR*clemson
Higgins, Tee*Oak Ridge, TN (Oak Ridge HS)*6-4*190*WR*clemson
Holden, Landon*Inman, SC (Chapman HS)*6-1*225*LB*clemson
Jackson, Josh*Greenville, SC (Christ Church Episcopal HS)*--*--*WR*clemson
Jefferies, Darnell*Covington, GA (Newton HS)*6-3*285*DL*clemson
Johnson, Denzel*Columbia, SC (A.C. Flora HS)*6-2*190*DB*clemson
Johnson, Tayquon*Williamsport, MD (Williamsport HS)*6-3*290*DL*clemson
Jones Jr., Mike*Nashville, TN (IMG Academy (FL))*6-1*220*LB*clemson
Jones, Sheridan*Norfolk, VA (Maury HS)*6-1*175*DB*clemson
Kelly, Xavier*Wichita, KS (East HS)*6-5*255*DL*clemson
Kendrick, Derion*Rock Hill, SC (South Pointe HS)*6-1*190*DB*clemson
Ladson Jr., Frank*Miami, FL (South Dade HS)*6-4*190*WR*clemson
Lawrence, Trevor*Cartersville, GA (Cartersville HS)*6-5*205*QB*clemson
Lay, Jaelyn*Atlanta, GA (Riverdale HS)*6-5*250*TE*clemson
Lucas, Ty*Columbus, GA (Chattahoochiee County HS)*5-7*190*RB*clemson
Maddox, Jack*Acton, MA (Acton-Boxborough HS)*6-4*205*LS*clemson
Maguire, Keith*Media, PA (Malvern Prep HS)*6-2*215*LB*clemson
Maloney, Matthew*Clemson, SC (D.W. Daniel HS)*6-0*190*LB*clemson
Mascoll, Justin*Snellville, GA (South Gwinnett HS)*6-4*210*DL*clemson
May, Max*Clemson, SC (D.W. Daniel HS)*6-2*190*WR*clemson
Mayers, Sylvester*Richmond, VA (Benedictine HS)*5-7*150*RB*clemson
McCall, Jack*Mount Pleasant, SC (Wando HS)*5-11*180*DB*clemson
McClure, Patrick*Irmo, SC (Ben Lippen HS)*6-1*195*QB*clemson
McFadden, Jordan*Spartanburg, SC (Dorman HS)*6-4*280*OL*clemson
McIntosh, Zac*Belton, SC (Daniel HS)*5-11*295*OL*clemson
McMahan, Matt*Denver, NC (North Lincoln HS)*6-1*205*LB*clemson
