name*city*height*weight*position*team
Anderson, Dee*DeSoto, TX (DeSoto HS)*6-5*204*WR*lsu
Anthony, Andre*New Orleans, LA (Edna Karr HS)*6-4*219*LB*lsu
Atkins, Avery*Auburn, AL (Auburn HS)*5-11*--*K*lsu
Aucoin, Alex*Baton Rouge, LA (Parkview Baptist HS)*6-0*165*WR*lsu
Aycock, AJ*Jonesboro, AR (Jonesboro HS)*6-4*200*QB*lsu
Baskerville, Micah*Shreveport, LA (Evangel Christian Academy)*6-2*215*LB*lsu
Benfield, Aaron*Thibodaux, LA (E.D. White HS)*6-2*230*LB*lsu
Bradford, Anthony*Muskegon, MI (Muskegon HS)*6-7*355*OL*lsu
Brennan, Myles*Long Beach, MS (St. Stanislaus HS)*6-4*182*QB*lsu
Brooks, Marcel*Flower Mound, TX (Marcus HS)*6-2*194*DB*lsu
Brunet, Colby*Metairie, LA (Archbishop Rummel HS)*5-11*176*WR*lsu
Burrow, Joe*The Plains, OH (Athens HS / Ohio State)*6-3*208*QB*lsu
Campbell, Donavaughn*Ponchatoula, LA (Ponchatoula HS)*6-5*349*OL*lsu
Carter, Tory*Leesburg, GA (Lee County HS)*6-1*260*RB*lsu
Chaisson, K'Lavon*Houston, TX (North Shore HS)*6-5*230*LB*lsu
Charles, Saahdiq*Jackson, MS (Madison-Ridgeland Academy)*6-5*328*OL*lsu
Chase, Ja'Marr*Metairie, LA (Archbishop Rummel HS)*6-1*203*WR*lsu
Cherry, Jarell*Dallas, TX (Carter HS)*6-3*231*DL*lsu
Clark, Damone*Baton Rouge, LA (Southern Lab HS)*6-4*232*LB*lsu
Cole, Lloyd*Bossier City, LA (Parkway HS / Grambling)*6-0*--*DB*lsu
Comeaux, Cade*New Orleans, LA (John Curtis Christian HS)*6-0*178*DB*lsu
Culp, Connor*Phoenix, AZ (Desert Vista HS)*5-10*195*K*lsu
Curry, Chris*Lehigh Acres, FL (Lehigh HS)*6-0*213*RB*lsu
Cushenberry III, Lloyd*Geismar, LA (Dutchtown HS)*6-4*310*OL*lsu
Davis-Price, Tyrion*Baton Rouge, LA (Southern Lab HS)*6-1*226*RB*lsu
Deculus, Austin*Cypress, TX (Cy-Fair HS)*6-6*345*OL*lsu
Delpit, Grant*Houston, TX (IMG Academy (FL))*6-3*191*DB*lsu
Dillon, Derrick*Franklinton, LA (Pine HS)*5-11*174*WR*lsu
Divinity Jr., Michael*Marrero, LA (John Ehret HS)*6-3*224*LB*lsu
Edwards-Helaire, Clyde*Baton Rouge, LA (Catholic HS)*5-8*210*RB*lsu
Emery Jr., John*Destrehan, LA (Destrehan HS)*6-0*203*RB*lsu
Evans, Joseph*Haynesville, LA (Haynesville HS)*6-2*288*DL*lsu
Farrell Jr., Neil*Mobile, AL (Murphy HS)*6-4*294*DL*lsu
Faust, Hunter*New Orleans, LA (Jesuit HS)*6-2*217*LB*lsu
Fehoko, Breiden*Honolulu, HI (Farrington HS / Texas Tech)*6-3*293*DL*lsu
Ferguson, Blake*Buford, GA (Buford HS)*6-3*215*LS*lsu
Flott, Cordale*Saraland, AL (Saraland HS)*6-2*160*DB*lsu
Fonua, Soni*Salt Lake City, UT (East HS / Mesa CC (AZ))*6-4*264*LB*lsu
Fournette, Lanard*New Orleans, LA (St. Augustine HS)*5-10*185*RB*lsu
Francioni, Evan*River Ridge, LA (Archbishop Rummel HS)*6-0*194*WR*lsu
Fulton, Kristian*Metairie, LA (Archbishop Rummel HS)*6-0*178*DB*lsu
Hampton Jr., Maurice*Memphis, TN (Memphis University School)*6-0*214*DB*lsu
Harden, Austin*Patterson, LA (Patterson HS)*6-3*227*OL*lsu
Harris Jr., Todd*Plaquemine, LA (Plaquemine HS)*6-0*188*DB*lsu
Hines, Chasen*Marshall, TX (Marshall HS)*6-3*347*OL*lsu
