name*city*height*weight*position*team
Alabi, Joshua*Detroit, MI (Cass Tech HS)*6-5*295*OL*/ohio-state
Andrade, J.P.*La Verne, CA (Bonita HS)*6-3*205*QB*/ohio-state
Arnette, Damon*Fort Lauderdale, FL (St. Thomas Aquinas HS)*6-0*191*DB*/ohio-state
Babb, Kamryn*St. Louis, MO (Christian Brothers HS)*6-0*200*WR*/ohio-state
Banks, Sevyn*Orlando, FL (Jones HS)*6-0*195*DB*/ohio-state
Batsch, Ryan*Loveland, OH (Loveland HS)*6-2*205*DB*/ohio-state
Berry, Rashod*Lorain, OH (Lorain HS)*6-4*245*TE*/ohio-state
Borland, Tuf*Bolingbrook, IL (Bolingbrook HS)*6-1*228*LB*/ohio-state
Bowen, Branden*Draper, UT (Corner Canyon HS)*6-7*320*OL*/ohio-state
Brock, Nathan*Powell, OH (Olentangy Liberty HS)*6-4*285*OL*/ohio-state
Brown, Cameron*St. Louis, MO (Christian Brothers HS)*6-0*185*DB*/ohio-state
Browning, Baron*Fort Worth, TX (Kennedale HS)*6-4*230*LB*/ohio-state
Cage, Jerron*Cincinnati, OH (Winton Woods HS)*6-3*280*DL*/ohio-state
Chambers, Steele*Roswell, GA (Blessed Trinity HS)*6-2*215*RB*/ohio-state
Chrisman, Drue*Cincinnati, OH (La Salle HS)*6-3*212*P*/ohio-state
Chugunov, Chris*Skillman, NJ (Montgomery HS / West Virginia)*6-1*192*QB*/ohio-state
Cooper, Jonathon*Gahanna, OH (Lincoln HS)*6-3*238*DL*/ohio-state
Cope, Robert*Dublin, OH (Dublin Jerome HS)*5-9*200*RB*/ohio-state
Cornell, Jashon*St. Paul, MN (Cretin-Derham Hall HS)*6-3*265*DL*/ohio-state
Cox, Aaron*Mantua, OH (Crestwood HS)*6-3*255*DL*/ohio-state
Crowley, Marcus*Jacksonville, FL (Trinity Christian Academy)*6-1*205*RB*/ohio-state
Cupp, Gavin*Leipsic, OH (Leipsic HS)*6-5*305*OL*/ohio-state
Davin, Brock*Cincinnati, OH (St. Xavier HS)*6-3*235*TE*/ohio-state
Davis, Wyatt*Bellflower, CA (St. John Bosco HS)*6-4*310*OL*/ohio-state
Deneher, Jack*Dover, OH (Dover HS)*6-4*200*K*/ohio-state
Dever, Kevin*Cleveland, OH (St. Edward HS)*--*--*DB*/ohio-state
DiMaccio, Dominic*Columbus, OH (St. Francis DeSales HS / Missouri)*5-8*180*K*/ohio-state
Dobbins, J.K.*La Grange, TX (La Grange HS)*5-10*208*RB*/ohio-state
Donald, Noah*Uniontown, OH (Walsh Jesuit HS)*6-1*275*DL*/ohio-state
Eichenberg, Tommy*Cleveland, OH (St. Ignatius HS)*6-3*225*LB*/ohio-state
Fankhauser, Owen*Stow, OH (Stow-Munroe Falls HS)*5-11*195*DB*/ohio-state
Farrell, Luke*Perry, OH (Perry HS)*6-6*250*TE*/ohio-state
Fields, Justin*Kennesaw, GA (Harrison HS / Georgia)*6-3*225*QB*/ohio-state
Friday, Tyler*Ramsey, NJ (Don Bosco Prep HS)*6-3*255*DL*/ohio-state
Fuller, Jordan*Old Tappan, NJ (Old Tappan HS)*--*--*DB*/ohio-state
Gant, Dallas*Toledo, OH (St. John's Jesuit HS)*6-3*225*LB*/ohio-state
Gardiner, Ellijah*Kemp, TX (Kemp HS)*6-4*200*WR*/ohio-state
Garrett, Haskell*Las Vegas, NV (Bishop Gorman HS)*6-2*286*DL*/ohio-state
Gill, Jaelen*Westerville, OH (Westerville South HS)*6-0*185**/ohio-state
Hamdan, Zaid*Mason, OH (Mason HS)*5-11*265*DL*/ohio-state
Hamilton, Cormontae*Memphis, TN (Whitehaven HS)*6-2*263*TE*/ohio-state
Hamilton, Davon*Pickerington, OH (Pickerington Central HS)*6-4*300*DL*/ohio-state
Harris, Jaylen*Cleveland, OH (Cleveland Heights HS)*6-5*205*WR*/ohio-state
Harrison, Malik*Columbus, OH (Walnut Ridge HS)*--*--*LB*/ohio-state
Harrison, Zach*Lewis Center, OH (Olentangy Orange HS)*6-6*255*DL*/ohio-state
Haubeil, Blake*Buffalo, NY (Canisius HS)*6-3*200*K*/ohio-state
Hausmann, Jake*Cincinnati, OH (Moeller HS)*6-4*252*TE*/ohio-state
Hickman, Ronnie*Wayne, NJ (De Paul Catholic HS)*6-1*200*DB*/ohio-state
Hill, K.J.*North Little Rock, AR (North Little Rock HS)*6-0*195*WR*/ohio-state
Hilliard, Justin*Cincinnati, OH (St. Xavier HS)*6-1*230*LB*/ohio-state
Hittle, Logan*Nashport, OH (Tri-Valley HS)*5-11*198*LB*/ohio-state
Hoak, Gunnar*Dublin, OH (Dublin Coffman HS / Kentucky)*6-4*--*QB*/ohio-state
Hooker, Marcus*New Castle, PA (New Castle HS)*5-11*192*DB*/ohio-state
Hoover, Zach*Maumee, OH (Central Catholic HS / Iowa State)*6-2*175*K*/ohio-state
Jackson, Antwuan*Ellenwood, GA (Cedar Grove HS / Auburn / Blinn JC (TX))*6-2*303*DL*/ohio-state
Jackson, Jonah*Media, Pa (Penncrest HS / Rutgers)*6-4*295*OL*/ohio-state
Jacoby, Ryan*Mentor, OH (Mentor HS)*6-5*290*OL*/ohio-state
Jamieson, Jack*Lakewood, OH (St. Ignatius HS)*6-1*285*OL*/ohio-state
Jean-Baptiste, Javontae*Oradell, NJ (Bergen Catholic HS)*6-5*235*DL*/ohio-state
Johnson, Tyreke*Jacksonville, FL (Trinity Christian Academy)*6-1*193*DB*/ohio-state
Johnson, Xavier*Cincinnati, OH (Summitt Country Day HS)*6-2*212*RB*/ohio-state
Jones, Dawand*Indianapolis, IN (Ben Davis HS)*6-8*360*OL*/ohio-state
Jones, Matthew*Brooklyn, NY (Erasmus Hall Campus HS)*6-4*299*OL*/ohio-state
Kacherski, Cade*Dublin, OH (Dublin Jerome HS)*6-2*212*LB*/ohio-state
Koch, Alec*Lebanon, OH (Lebanon HS / Sinclair CC (OH))*5-10*175*WR*/ohio-state
Kuhn, Chris*Sandusky, OH (St. Mary Central Catholic HS)*6-5*270*DL*/ohio-state
Kutscher, Austin*Massillon, OH (Washington HS)*6-0*200*WR*/ohio-state
Landers, Robert*Dayton, OH (Wayne HS)*6-1*290*DL*/ohio-state
LaRoe, Jagger*Colleyville, TX (Heritage HS / Texas A&M)*6-1*210*QB*/ohio-state
Mack, Austin*Fort Wayne, IN (Bishop Luers HS)*6-2*210*WR*/ohio-state
Malone, Derrick*Dayton, OH (Thurgood Marshall HS)*6-5*245*TE*/ohio-state
McCall, Demario*North Ridgeville, OH (North Ridgeville HS)*--*--*RB*/ohio-state
McCullough, Liam*Columbus, OH (Worthington Kilbourne HS)*6-2*210*LS*/ohio-state
McCullough, Roen*Columbus, OH (Worthington Kilbourne HS)*6-1*230*LS*/ohio-state
McFarquhar, Lloyd*Cleveland, OH (Brush HS)*5-9*170*DB*/ohio-state
McKenzie, Jaden*Wake Forest, NC (Wake Forest HS)*6-3*285*DL*/ohio-state
McMahon, Amari*Dublin, OH (Dublin Scioto HS)*6-0*205*RB*/ohio-state
Metzer, Jake*Doylestown, PA (Central Bucks West HS / Penn State)*6-2*220*P*/ohio-state
Miller, Harry*Buford, GA (Buford HS)*6-4*310*OL*/ohio-state
Mitchell, Teradja*Virginia Beach, VA (Bishop Sullivan HS)*6-2*236*LB*/ohio-state
Munford, Thayer*Cincinnati, OH (Massillon Washington HS)*6-6*325*OL*/ohio-state
Myers, Josh*Miamisburg, OH (Miamisburg HS)*6-5*305*OL*/ohio-state
Novick, Brett*Katonah, NY (John Jay HS)*6-1*275*DL*/ohio-state
O'Shaughnessy, Michael*New Albany, OH (New Albany HS)*6-4*200*P*/ohio-state
Okudah, Jeffrey*Grand Prairie, TX (South Grand Prairie HS)*6-1*193*DB*/ohio-state
Olave, Chris*San Marcos, CA (Mission Hills HS)*6-1*175*WR*/ohio-state
Pahl, Brandon*Cutler, OH (Warren HS)*6-2*295*OL*/ohio-state
Petit-Frere, Nicholas*Tampa, FL (Berkeley Prep HS)*6-5*288*OL*/ohio-state
Pope, K'Vaughan*Dinwiddie, VA (Dinwiddie HS)*6-1*226*LB*/ohio-state
Potter, Noah*Mentor, OH (Mentor HS)*6-6*252*DL*/ohio-state
Proctor, Josh*Owasso, OK (Owasso HS)*6-2*198*DB*/ohio-state
Pryor, Isaiah*Bradenton, FL (IMG Academy (FL))*6-2*195*DB*/ohio-state
Riep, Amir*Cincinnati, OH (Colerain HS)*5-11*183*DB*/ohio-state
Robinson, Bradley*Troy, MI (Athens HS / Michigan State)*6-2*228*LS*/ohio-state
