,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
0,HighSchool,2019,1.0,Nolan Smith,IMG Academy,Georgia,WDE,75.0,227.0,5,0.9994,Bradenton,FL,
1,HighSchool,2019,2.0,Kayvon Thibodeaux,Oaks Christian,Oregon,WDE,76.5,239.0,5,0.9987,Thousand Oaks,CA,
2,HighSchool,2019,3.0,Derek Stingley,Dunham School,LSU,CB,72.5,188.0,5,0.998,Baton Rouge,LA,
3,HighSchool,2019,4.0,Jadon Haselwood,Cedar Grove,Oklahoma,WR,74.5,196.0,5,0.9967,Ellenwood,GA,
4,HighSchool,2019,5.0,Antonio Alfano,Colonia,Alabama,SDE,76.0,285.0,5,0.9965,Colonia,NJ,
5,HighSchool,2019,6.0,Trey Sanders,IMG Academy,Alabama,RB,72.0,214.0,5,0.9963,Bradenton,FL,
6,HighSchool,2019,7.0,Evan Neal,IMG Academy,Alabama,OT,79.5,360.0,5,0.9946,Bradenton,FL,
7,HighSchool,2019,8.0,Zacch Pickens,T L Hanna,South Carolina,DT,75.0,293.0,5,0.9946,Anderson,SC,
8,HighSchool,2019,9.0,Bru McCoy,Mater Dei,Texas,ATH,74.0,205.0,5,0.9944,Santa Ana,CA,
9,HighSchool,2019,10.0,Darnell Wright,Huntington,Tennessee,OT,78.0,320.0,5,0.9944,Huntington,WV,
10,HighSchool,2019,11.0,Spencer Rattler,Pinnacle,Oklahoma,PRO,73.0,192.0,5,0.9942,Phoenix,AZ,
11,HighSchool,2019,12.0,Zach Harrison,Olentangy Orange,Ohio State,SDE,77.0,253.0,5,0.9933,Lewis Center,OH,
12,HighSchool,2019,13.0,John Emery Jr.,Destrehan,LSU,RB,71.0,206.0,5,0.9929,Destrehan,LA,
13,HighSchool,2019,14.0,Daxton Hill,Booker T. Washington,Michigan,S,72.5,186.0,5,0.9927,Tulsa,OK,
14,HighSchool,2019,15.0,Kenyon Green,Atascocita,Texas A&M,OT,76.5,322.0,5,0.9926,Humble,TX,
15,HighSchool,2019,16.0,DeMarvin Leal,Judson,Texas A&M,DT,76.0,289.0,5,0.992,Converse,TX,
16,HighSchool,2019,17.0,Logan Brown,East Kentwood,Wisconsin,OT,78.0,305.0,5,0.9915,Grand Rapids,MI,
17,HighSchool,2019,18.0,Brandon Smith,Louisa County,Penn State,ILB,76.0,228.0,5,0.9911,Mineral,VA,
18,HighSchool,2019,19.0,Nakobe Dean,Horn Lake,Georgia,ILB,72.0,220.0,5,0.9908,Horn Lake,MS,
19,HighSchool,2019,20.0,Garrett Wilson,Lake Travis,Ohio State,WR,71.5,175.0,5,0.9903,Austin,TX,
20,HighSchool,2019,21.0,Theo Wease,Allen,Oklahoma,WR,75.0,202.0,5,0.9903,Allen,TX,
21,HighSchool,2019,22.0,Travon Walker,Upson-Lee,Georgia,DT,77.0,285.0,5,0.9901,Thomaston,GA,
22,HighSchool,2019,23.0,Andrew Booth,Archer,Clemson,CB,73.0,188.0,5,0.9891,Lawrenceville,GA,
23,HighSchool,2019,24.0,George Pickens,Hoover,Georgia,WR,75.5,190.0,5,0.988,Hoover,AL,
24,HighSchool,2019,25.0,Owen Pappoe,Grayson,Auburn,OLB,72.0,210.0,5,0.9879,Loganville,GA,
25,HighSchool,2019,26.0,Clay Webb,Oxford,Georgia,OC,75.0,295.0,5,0.9877,Oxford,AL,
26,HighSchool,2019,27.0,Charles Cross,Laurel,Mississippi State,OT,77.0,270.0,5,0.9877,Laurel,MS,
27,HighSchool,2019,28.0,Wanya Morris,Grayson,Tennessee,OT,78.0,312.0,5,0.9871,Loganville,GA,
28,HighSchool,2019,29.0,Jerrion Ealy,Jackson Prep,Ole Miss,RB,70.0,200.0,5,0.987,Flowood,MS,
29,HighSchool,2019,30.0,Harry Miller,Buford,Ohio State,OC,75.5,305.0,5,0.9868,Buford,GA,
30,HighSchool,2019,31.0,Chris Hinton,Greater Atlanta Christian School,Michigan,DT,76.0,280.0,5,0.9867,Norcross,GA,
31,HighSchool,2019,32.0,Marcel Brooks,Marcus,LSU,OLB,74.0,195.0,5,0.9861,Flower Mound,TX,
32,HighSchool,2019,33.0,Bo Nix,Pinson Valley,Auburn,DUAL,73.5,207.0,5,0.9857,Pinson,AL,
33,HighSchool,2019,34.0,Jordan Whittington,Cuero,Texas,ATH,72.0,198.0,5,0.9836,Cuero,TX,
34,HighSchool,2019,35.0,Jayden Daniels,Cajon,Arizona State,DUAL,75.0,175.0,4,0.9832,San Bernardino,CA,
35,HighSchool,2019,36.0,Dominick Blaylock,Walton,Georgia,WR,73.0,195.0,4,0.9831,Marietta,GA,
36,HighSchool,2019,37.0,Tyrique Stevenson,Miami Southridge,Georgia,CB,72.5,202.0,4,0.9831,Homestead,FL,
37,HighSchool,2019,38.0,Kyle Ford,Orange Lutheran,USC,WR,74.0,212.0,4,0.9812,Orange,CA,
38,HighSchool,2019,39.0,Frank Ladson,South Dade,Clemson,WR,75.0,190.0,4,0.98,Miami,FL,
39,HighSchool,2019,40.0,Pierce Quick,Hewitt-Trussville,Alabama,OT,77.0,287.0,4,0.9789,Trussville,AL,
40,HighSchool,2019,41.0,Mykael Wright,Antelope Valley,Oregon,CB,71.0,180.0,4,0.9783,Lancaster,CA,
41,HighSchool,2019,42.0,Chris Steele,St. John Bosco,Florida,CB,73.5,187.0,4,0.9782,Bellflower,CA,
42,HighSchool,2019,43.0,Jordan Battle,St. Thomas Aquinas,Alabama,S,73.0,187.0,4,0.978,Fort Lauderdale,FL,
43,HighSchool,2019,44.0,Henry To'oto'o,De La Salle,Tennessee,OLB,74.0,230.0,4,0.9779,Concord,CA,
44,HighSchool,2019,45.0,Lewis Cine,Trinity Christian School,Georgia,S,74.0,180.0,4,0.9765,Cedar Hill,TX,
45,HighSchool,2019,46.0,Zach Charbonnet,Oaks Christian,Michigan,RB,74.0,215.0,4,0.976,Westlake Village,CA,
46,HighSchool,2019,47.0,Ishmael Sopsher,Amite,Alabama,DT,75.5,334.0,4,0.9757,Amite,LA,
47,HighSchool,2019,48.0,Kaiir Elam,The Benjamin School,Florida,CB,73.0,182.0,4,0.9755,North Palm Beach,FL,
48,HighSchool,2019,49.0,Jake Smith,Notre Dame Preparatory,Texas,WR,73.0,189.0,4,0.9752,Scottsdale,AZ,
49,HighSchool,2019,50.0,Akeem Dent,Palm Beach Central,Florida State,CB,71.0,180.0,4,0.9752,West Palm Beach,FL,
50,HighSchool,2019,51.0,Devontae Dobbs,Belleville,Michigan State,OG,76.0,304.0,4,0.9747,Belleville,MI,
51,HighSchool,2019,52.0,Joe Ngata,Folsom,Clemson,WR,75.0,205.0,4,0.9733,Folsom,CA,
52,HighSchool,2019,53.0,Baylor Cupp,Brock,Texas A&M,TE,78.0,240.0,4,0.9731,Brock,TX,
53,HighSchool,2019,54.0,Jeremiah Payton,Duncan U. Fletcher,Miami,WR,72.5,186.0,4,0.973,Neptune Beach,FL,
54,HighSchool,2019,55.0,Nick Cross,DeMatha Catholic,Maryland,S,72.0,206.0,4,0.9727,Hyattsville,MD,
55,HighSchool,2019,56.0,Drake Jackson,Centennial,USC,SDE,75.0,269.0,4,0.9725,Corona,CA,
56,HighSchool,2019,57.0,Julian Barnett,Belleville,Michigan State,CB,74.0,189.0,4,0.9724,Belleville,MI,
57,HighSchool,2019,58.0,Tyler Johnson,Oak Ridge,Texas,OT,77.0,308.0,4,0.9722,Conroe,TX,
58,HighSchool,2019,59.0,George Karlaftis,West Lafayette,Purdue,SDE,76.0,265.0,4,0.9705,West Lafayette,IN,
59,HighSchool,2019,60.0,Kyle Hamilton,Marist School,Notre Dame,S,75.0,190.0,4,0.97,Atlanta,GA,
