,city,admin_name,lat,lng,name,height,weight,position,team
0,"Dallas, TX",TX,32.7936,-96.7662,"Cherry, Jarell",6-3,231,DL,lsu
1,"Houston, TX",TX,29.7869,-95.3905,"Chaisson, K'Lavon",6-5,230,LB,lsu
2,"Houston, TX",TX,29.7869,-95.3905,"Delpit, Grant",6-3,191,DB,lsu
3,"Houston, TX",TX,29.7869,-95.3905,"Monroe, Eric",6-0,185,DB,lsu
4,"Houston, TX",TX,29.7869,-95.3905,"Smith, Carlton",6-3,227,LB,lsu
5,"Houston, TX",TX,29.7869,-95.3905,"Williams, Josh",5-10,192,RB,lsu
6,"Boston, MA",MA,42.3188,-71.0846,"Traore, Badara",6-6,310,OL,lsu
7,"Phoenix, AZ",AZ,33.5722,-112.0891,"Culp, Connor",5-10,195,K,lsu
8,"Salt Lake City, UT",UT,40.7774,-111.93,"Fonua, Soni",6-4,264,LB,lsu
9,"Salt Lake City, UT",UT,40.7774,-111.93,"Ika, Siaki",6-4,347,DL,lsu
10,"Nashville, TN",TN,36.1715,-86.7843,"Phillips, Jacob",6-3,235,LB,lsu
11,"Memphis, TN",TN,35.1046,-89.9773,"Hampton Jr., Maurice",6-0,214,DB,lsu
12,"New Orleans, LA",LA,30.0687,-89.9288,"Anthony, Andre",6-4,219,LB,lsu
13,"New Orleans, LA",LA,30.0687,-89.9288,"Comeaux, Cade",6-0,178,DB,lsu
14,"New Orleans, LA",LA,30.0687,-89.9288,"Faust, Hunter",6-2,217,LB,lsu
15,"New Orleans, LA",LA,30.0687,-89.9288,"Fournette, Lanard",5-10,185,RB,lsu
16,"New Orleans, LA",LA,30.0687,-89.9288,"McMath, Racey",6-3,213,WR,lsu
17,"New Orleans, LA",LA,30.0687,-89.9288,"Pettigrew, Jamal",6-6,218,TE,lsu
18,"Honolulu, HI",HI,21.3294,-157.846,"Fehoko, Breiden",6-3,293,DL,lsu
19,"Baton Rouge, LA",LA,30.4419,-91.131,"Aucoin, Alex",6-0,165,WR,lsu
20,"Baton Rouge, LA",LA,30.4419,-91.131,"Clark, Damone",6-4,232,LB,lsu
21,"Baton Rouge, LA",LA,30.4419,-91.131,"Davis-Price, Tyrion",6-1,226,RB,lsu
22,"Baton Rouge, LA",LA,30.4419,-91.131,"Edwards-Helaire, Clyde",5-8,210,RB,lsu
23,"Baton Rouge, LA",LA,30.4419,-91.131,"Hubicz, Brandon",6-2,215,TE,lsu
24,"Baton Rouge, LA",LA,30.4419,-91.131,"McKernan, John Gordon",6-2,186,QB,lsu
25,"Baton Rouge, LA",LA,30.4419,-91.131,"Moffitt, Aaron",6-3,259,TE,lsu
26,"Baton Rouge, LA",LA,30.4419,-91.131,"Small, Jared",5-11,199,LB,lsu
27,"Baton Rouge, LA",LA,30.4419,-91.131,"Stingley Jr., Derek",6-1,195,DB,lsu
28,"Baton Rouge, LA",LA,30.4419,-91.131,"Thomas, Kardell",6-3,329,OL,lsu
29,"Baton Rouge, LA",LA,30.4419,-91.131,"Williams, Michael",6-2,275,DL,lsu
30,"Oakland, CA",CA,37.7903,-122.2165,"Murray, Jabari",6-2,168,DB,lsu
31,"Jackson, MS",MS,32.3163,-90.2124,"Charles, Saahdiq",6-5,328,OL,lsu
32,"Mobile, AL",AL,30.6782,-88.1163,"Farrell Jr., Neil",6-4,294,DL,lsu
33,"Shreveport, LA",LA,32.4659,-93.7959,"Baskerville, Micah",6-2,215,LB,lsu
34,"Canton, OH",OH,40.8076,-81.3678,"Turner, Charles",6-4,245,OL,lsu
35,"Lafayette, LA",LA,30.2084,-92.0323,"Kately, Treven",5-10,184,DB,lsu
36,"Lafayette, LA",LA,30.2084,-92.0323,"Perry, Thomas",6-6,341,OL,lsu
37,"Lafayette, LA",LA,30.2084,-92.0323,"Shelvin, Tyler",6-2,380,DL,lsu
