,city,admin_name,lat,lng,name,height,weight,position,team
0,"Detroit, MI",MI,42.3834,-83.1024,"Alabi, Joshua",6-5,295,OL,/ohio-state
1,"Tampa, FL",FL,27.9942,-82.4451,"Petit-Frere, Nicholas",6-5,288,OL,/ohio-state
2,"Brooklyn, NY",NY,40.6501,-73.9496,"Jones, Matthew",6-4,299,OL,/ohio-state
3,"Brooklyn, NY",NY,40.6501,-73.9496,"Wint, Jahsen",5-10,196,DB,/ohio-state
4,"St. Louis, MO",MO,38.6358,-90.2451,"Babb, Kamryn",6-0,200,WR,/ohio-state
5,"St. Louis, MO",MO,38.6358,-90.2451,"Brown, Cameron",6-0,185,DB,/ohio-state
6,"St. Louis, MO",MO,38.6358,-90.2451,"Williams, Jameson",6-2,170,WR,/ohio-state
7,"Las Vegas, NV",NV,36.2333,-115.2654,"Garrett, Haskell",6-2,286,DL,/ohio-state
8,"Orlando, FL",FL,28.4772,-81.3369,"Banks, Sevyn",6-0,195,DB,/ohio-state
9,"Cleveland, OH",OH,41.4767,-81.6805,"Dever, Kevin",--,--,DB,/ohio-state
10,"Cleveland, OH",OH,41.4767,-81.6805,"Eichenberg, Tommy",6-3,225,LB,/ohio-state
11,"Cleveland, OH",OH,41.4767,-81.6805,"Harris, Jaylen",6-5,205,WR,/ohio-state
12,"Cleveland, OH",OH,41.4767,-81.6805,"McFarquhar, Lloyd",5-9,170,DB,/ohio-state
13,"Cleveland, OH",OH,41.4767,-81.6805,"Smith, Tyreke",6-4,255,DL,/ohio-state
14,"Cleveland, OH",OH,41.4767,-81.6805,"Woidke, Kevin",6-6,310,OL,/ohio-state
15,"Cincinnati, OH",OH,39.1412,-84.506,"Cage, Jerron",6-3,280,DL,/ohio-state
16,"Cincinnati, OH",OH,39.1412,-84.506,"Chrisman, Drue",6-3,212,P,/ohio-state
17,"Cincinnati, OH",OH,39.1412,-84.506,"Davin, Brock",6-3,235,TE,/ohio-state
18,"Cincinnati, OH",OH,39.1412,-84.506,"Hausmann, Jake",6-4,252,TE,/ohio-state
19,"Cincinnati, OH",OH,39.1412,-84.506,"Hilliard, Justin",6-1,230,LB,/ohio-state
20,"Cincinnati, OH",OH,39.1412,-84.506,"Johnson, Xavier",6-2,212,RB,/ohio-state
21,"Cincinnati, OH",OH,39.1412,-84.506,"Munford, Thayer",6-6,325,OL,/ohio-state
22,"Cincinnati, OH",OH,39.1412,-84.506,"Riep, Amir",5-11,183,DB,/ohio-state
23,"Cincinnati, OH",OH,39.1412,-84.506,"Vanatsky, Danny",6-1,205,QB,/ohio-state
24,"Cincinnati, OH",OH,39.1412,-84.506,"Wilburn, Trayvon",5-11,220,LB,/ohio-state
25,"Austin, TX",TX,30.3006,-97.7517,"Wilson, Garrett",6-0,188,WR,/ohio-state
26,"Indianapolis, IN",IN,39.7771,-86.1458,"Jones, Dawand",6-8,360,OL,/ohio-state
27,"Indianapolis, IN",IN,39.7771,-86.1458,"Werner, Pete",6-3,215,LB,/ohio-state
28,"Columbus, OH",OH,39.986,-82.9851,"DiMaccio, Dominic",5-8,180,K,/ohio-state
29,"Columbus, OH",OH,39.986,-82.9851,"Harrison, Malik",--,--,LB,/ohio-state
