,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,3916924,Jeremiah,Dinson,191.0,72.0,20.0,4.0,DB,USA
1,Atlanta,GA,33.7627,-84.4225,4361334,Smoke,Monday,196.0,74.0,21.0,3.0,DB,USA
2,Atlanta,GA,33.7627,-84.4225,4575103,Patrick,Markwalter,206.0,72.0,39.0,1.0,PK,USA
3,Atlanta,GA,33.7627,-84.4225,3916943,Mike,Horton,325.0,76.0,64.0,4.0,OL,USA
4,Tampa,FL,27.9942,-82.4451,4242511,Devan,Barrett,200.0,72.0,10.0,4.0,DB,USA
5,Orlando,FL,28.4772,-81.3369,4395513,Devonte,Booker,221.0,71.0,93.0,1.0,LB,USA
6,Orlando,FL,28.4772,-81.3369,4361337,DaQuan,Newkirk,317.0,75.0,44.0,4.0,DT,USA
7,Jacksonville,FL,30.3322,-81.6749,3916926,Javaris,Davis,180.0,70.0,13.0,4.0,DB,USA
8,Jacksonville,FL,30.3322,-81.6749,4361329,Joey,Gatewood,242.0,76.0,2.0,2.0,QB,USA
9,Nashville,TN,36.1715,-86.7843,4277560,Phelps,Gambill,276.0,77.0,89.0,3.0,TE,USA
10,Nashville,TN,36.1715,-86.7843,4391408,Jackson,McFadden,185.0,73.0,84.0,2.0,WR,USA
11,New Orleans,LA,30.0687,-89.9288,4391409,Erik,Piedy,184.0,70.0,41.0,2.0,DB,USA
12,Birmingham,AL,33.5277,-86.7987,4371980,Harold,Joiner,231.0,76.0,22.0,2.0,RB,USA
13,Birmingham,AL,33.5277,-86.7987,4242528,T.D.,Moultry,253.0,74.0,99.0,4.0,DE,USA
14,Birmingham,AL,33.5277,-86.7987,4277559,Barrett,Tindall,214.0,72.0,38.0,4.0,LB,USA
15,Birmingham,AL,33.5277,-86.7987,4242523,Josh,French,203.0,71.0,41.0,3.0,LB,USA
16,Birmingham,AL,33.5277,-86.7987,4283013,Tanner,Dean,217.0,75.0,27.0,3.0,LB,USA
17,Birmingham,AL,33.5277,-86.7987,4059827,Sam,Sherrod,194.0,71.0,32.0,3.0,DB,USA
18,Birmingham,AL,33.5277,-86.7987,-1003556,David,Shannon,239.0,79.0,70.0,,OL,USA
19,Birmingham,AL,33.5277,-86.7987,4567228,Jacob,Jasinski,194.0,70.0,46.0,2.0,RB,USA
20,Colorado Springs,CO,38.8674,-104.7606,4242519,Anders,Carlson,215.0,77.0,26.0,3.0,PK,USA
21,Little Rock,AR,34.7255,-92.358,3916927,Will,Hastings,174.0,70.0,33.0,4.0,WR,USA
22,Little Rock,AR,34.7255,-92.358,4567231,Brooks,Walton,208.0,71.0,57.0,2.0,LB,USA
23,Augusta,GA,33.3645,-82.0708,4242538,Tyrone,Truesdell,326.0,74.0,94.0,4.0,DT,USA
24,Mobile,AL,30.6782,-88.1163,4371973,Roger,McCreary,188.0,72.0,23.0,3.0,DB,USA
25,Huntsville,AL,34.6988,-86.6412,4035507,Malik,Miller,235.0,71.0,32.0,3.0,RB,USA
26,Huntsville,AL,34.6988,-86.6412,4242533,Austin,Troxell,312.0,78.0,68.0,3.0,OL,USA
27,Columbus,GA,32.51,-84.8771,4371983,Caleb,Johnson,248.0,74.0,45.0,2.0,DE,USA
28,Montgomery,AL,32.3473,-86.2666,4035505,Daniel,Thomas,209.0,71.0,24.0,4.0,DB,USA
29,Montgomery,AL,32.3473,-86.2666,4587295,Trey,Lindsey,200.0,72.0,13.0,1.0,QB,USA
30,Montgomery,AL,32.3473,-86.2666,4393561,Barton,Lester,208.0,75.0,47.0,3.0,LB,USA
31,Montgomery,AL,32.3473,-86.2666,4242537,Alec,Jackson,315.0,77.0,65.0,3.0,OL,USA
32,Gulfport,MS,30.4271,-89.0703,4567226,Derick,Hall,238.0,75.0,29.0,2.0,DE,USA
33,Fort Lauderdale,FL,26.1412,-80.1464,4371977,Shaun,Shivers,179.0,67.0,8.0,3.0,RB,USA
34,Pembroke Pines,FL,26.0128,-80.3382,4371986,Anthony,Schwartz,179.0,72.0,1.0,3.0,WR,USA
35,Port Arthur,TX,29.8554,-93.9264,4035497,Kam,Martin,189.0,70.0,9.0,4.0,RB,USA
36,Warner Robins,GA,32.5975,-83.6526,4567234,Tyler,Fromm,237.0,77.0,85.0,1.0,TE,USA
37,West Palm Beach,FL,26.7469,-80.1316,4242517,Traivon,Leonard,214.0,72.0,14.0,4.0,DB,USA
38,Albany,GA,31.5776,-84.1762,4242526,John Samuel,Shenker,241.0,75.0,47.0,3.0,TE,USA
39,Auburn,AL,32.6087,-85.4899,4575105,Tommy,Nesmith,175.0,72.0,30.0,1.0,WR,USA
40,Auburn,AL,32.6087,-85.4899,4035506,Sage,Ledbetter,176.0,72.0,25.0,4.0,PK,USA
41,Hoover,AL,33.3754,-86.8065,4361332,Shedrick,Jackson,201.0,72.0,11.0,3.0,WR,USA
42,Hattiesburg,MS,31.3074,-89.317,4567237,Jaren,Handy,252.0,77.0,55.0,2.0,DL,USA
43,Valdosta,GA,30.8502,-83.2788,4371979,Zakoby,McClain,211.0,72.0,9.0,3.0,LB,USA
44,Flower Mound,TX,33.0344,-97.1147,4567230,Justin,Osborne,280.0,76.0,,1.0,OL,USA
45,Schaumburg,IL,42.0307,-88.0838,4242536,Sal,Cannella,228.0,77.0,80.0,4.0,WR,USA
46,Decatur,AL,34.573,-86.9905,4371987,Coynis,Miller Jr.,315.0,74.0,8.0,3.0,DT,USA
47,Decatur,AL,34.573,-86.9905,4361335,Josh,Marsh,219.0,74.0,36.0,2.0,LB,USA
48,Alpharetta,GA,34.0703,-84.2738,4391407,Chris,Bobo,193.0,72.0,39.0,2.0,DB,USA
49,Wellington,FL,26.6464,-80.2706,4567223,Mark-Antony,Richards,208.0,73.0,21.0,1.0,RB,USA
50,Marietta,GA,33.9532,-84.5422,3843227,Bailey,Sharp,305.0,77.0,66.0,4.0,OL,USA
51,Marietta,GA,33.9532,-84.5422,4575104,Reece,Mullins,225.0,75.0,95.0,1.0,DL,USA
52,Titusville,FL,28.5727,-80.8193,4567229,O.C.,Brothers,236.0,73.0,48.0,1.0,LB,USA
53,Bradenton,FL,27.49,-82.574,4371976,Cord,Sandberg,222.0,75.0,24.0,2.0,QB,USA
54,Brunswick,GA,31.145,-81.474,4567225,Jaylin,Simpson,171.0,72.0,26.0,1.0,DB,USA
55,Brunswick,GA,31.145,-81.474,4567221,Jashawn,Sheffield,190.0,73.0,22.0,1.0,WR,USA
56,Apopka,FL,28.7013,-81.5303,4242529,Tashawn,Manning,324.0,75.0,56.0,3.0,OL,USA
57,Keller,TX,32.9337,-97.2255,4037636,Zach,Farrar,210.0,76.0,14.0,3.0,WR,USA
58,Greenwood,SC,34.1945,-82.1542,4567235,Luke,Deal,247.0,78.0,86.0,1.0,TE,USA
59,Asheboro,NC,35.7157,-79.8129,4047458,Nick,Coe,291.0,77.0,91.0,3.0,DE,USA
60,Milton,GA,34.1353,-84.3138,4283016,Craig,Carter,196.0,71.0,47.0,4.0,LB,USA
61,Enterprise,AL,31.3276,-85.8459,4361336,Jacob,vonEschenbach,230.0,73.0,42.0,4.0,DE,USA
62,Enterprise,AL,31.3276,-85.8459,4391410,Jacob,Quattlebaum,219.0,72.0,67.0,2.0,LS,USA
63,Albertville,AL,34.2634,-86.2107,4283012,Wil,Appleton,194.0,71.0,15.0,4.0,QB,USA
64,Crestview,FL,30.7481,-86.5784,4035502,Marquis,McClain,224.0,74.0,17.0,3.0,WR,USA
65,Phenix City,AL,32.4588,-85.0251,4242535,Trent,Kelley,292.0,77.0,75.0,4.0,OL,USA
66,Tucker,GA,33.8436,-84.2021,4371981,Michael,Harris,240.0,75.0,30.0,1.0,LB,USA
67,Kennesaw,GA,34.0262,-84.6177,4575107,Trent,Townsend,269.0,76.0,98.0,1.0,DL,USA
68,Navarre,FL,30.4174,-86.8907,4242527,Nick,Brahms,299.0,75.0,52.0,3.0,OL,USA
69,Opelika,AL,32.6621,-85.3772,4035508,James Owens,Moss,182.0,69.0,35.0,4.0,WR,USA
70,Opelika,AL,32.6621,-85.3772,4059822,Devin,Guice,160.0,68.0,28.0,4.0,DB,USA
71,Lawrenceville,GA,33.9525,-83.9928,4567219,Owen,Pappoe,222.0,73.0,0.0,2.0,LB,USA
72,Lawrenceville,GA,33.9525,-83.9928,4371975,Matthew,Hill,190.0,73.0,19.0,2.0,DB,USA
73,Lawrenceville,GA,33.9525,-83.9928,4567224,Colby,Wooden,268.0,76.0,25.0,1.0,DE,USA
74,Northport,AL,33.2589,-87.5985,4242531,Bill,Taylor,220.0,75.0,60.0,3.0,LS,USA
75,Pelham,AL,33.3114,-86.7573,4391411,Malcolm,Russell,201.0,71.0,83.0,2.0,WR,USA
76,Sugar Hill,GA,34.1081,-84.056,4035495,Derrick,Brown,318.0,77.0,5.0,4.0,DT,USA
77,Sugar Hill,GA,34.1081,-84.056,4567227,Kameron,Brown,237.0,72.0,43.0,1.0,LB,USA
78,Griffin,GA,33.2418,-84.2747,4567220,Zion,Puckett,205.0,71.0,11.0,1.0,DB,USA
79,Griffin,GA,33.2418,-84.2747,4242530,Brodarious,Hamm,330.0,77.0,59.0,3.0,OL,USA
80,Griffin,GA,33.2418,-84.2747,4587297,Jacoby,Puckett,183.0,72.0,40.0,1.0,DB,USA
81,Acworth,GA,34.0565,-84.6709,4242515,Chandler,Wooten,229.0,74.0,31.0,4.0,LB,USA
82,Trussville,AL,33.6404,-86.5818,4242516,Noah,Igbinoghene,200.0,71.0,4.0,3.0,DB,USA
83,Trussville,AL,33.6404,-86.5818,4567217,Ja'Varrius,Johnson,160.0,69.0,6.0,1.0,WR,USA
84,Oxford,AL,33.5966,-85.869,4242521,K.J.,Britt,243.0,72.0,33.0,4.0,LB,USA
85,Lorton,VA,38.6984,-77.2163,4371988,Gabe,Brinson,305.0,77.0,73.0,2.0,DT,USA
86,Moultrie,GA,31.1591,-83.7708,4428638,Kamaar,Bell,325.0,74.0,79.0,1.0,OL,USA
87,Madison,CT,41.3398,-72.6278,-1003493,Jack,Driscoll,296.0,77.0,71.0,,OL,USA
88,Lake Placid,FL,27.2977,-81.3715,4567216,D.J.,Williams,208.0,70.0,3.0,2.0,RB,USA
89,Fairburn,GA,33.5496,-84.5914,3916944,Marquel,Harrell,309.0,75.0,77.0,4.0,OL,USA
90,Niceville,FL,30.529,-86.4753,4035500,Eli,Stove,191.0,72.0,12.0,4.0,WR,USA
91,Buford,GA,34.1187,-83.9915,3916939,Kaleb,Kim,300.0,76.0,54.0,4.0,OL,USA
92,Hartselle,AL,34.4391,-86.9401,4587296,Stone,Powell,222.0,74.0,37.0,1.0,LB,USA
93,Muscle Shoals,AL,34.7435,-87.6343,4242513,Jordyn,Peters,200.0,73.0,15.0,4.0,DB,USA
94,Jensen Beach,FL,27.2438,-80.2423,4361331,Jamien,Sherwood,220.0,74.0,20.0,3.0,DB,USA
95,Dallas,GA,33.9153,-84.8416,4373989,Michael,Cone,325.0,76.0,70.0,2.0,OL,USA
96,Rochester,MI,42.6866,-83.1197,4575106,Ben,Patton,190.0,70.0,96.0,1.0,PK,USA
97,Leeds,AL,33.5429,-86.5636,4035515,Clarke,Smith,247.0,75.0,53.0,4.0,LS,USA
98,Cordele,GA,31.9563,-83.7695,4242510,Big Kat,Bryant,250.0,77.0,1.0,4.0,DE,USA
99,Thomson,GA,33.4666,-82.4992,4361330,Christian,Tutt,192.0,71.0,6.0,3.0,DB,USA
100,Pinson,AL,33.7057,-86.6674,4567218,Bo,Nix,213.0,74.0,10.0,2.0,QB,USA
101,Stone Mountain,GA,33.8034,-84.1724,4371984,Jalil,Irvin,310.0,74.0,50.0,2.0,OL,USA
102,Attalla,AL,34.0049,-86.104,4242532,Peyton,Nance,302.0,71.0,63.0,2.0,DT,USA
103,Oak Ridge,NC,36.1738,-79.992,4567233,Cameron,Payne,209.0,74.0,82.0,3.0,WR,USA
104,Greenville,AL,31.8437,-86.6379,4035494,Marlon,Davidson,278.0,75.0,3.0,4.0,DE,USA
105,Greenville,AL,31.8437,-86.6379,4575102,Sawyer,Hennis,204.0,72.0,53.0,1.0,LB,USA
106,Glencoe,AL,33.9446,-85.9319,4035522,Pace,Ozmint,196.0,73.0,87.0,4.0,WR,USA
