,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,4240785,Clevan,Thomas Jr.,205.0,71.0,18.0,3.0,WR,USA
1,Miami,FL,25.7839,-80.2102,-1016044,Clevan,Thomas Jr.,209.0,71.0,18.0,,WR,USA
2,Detroit,MI,42.3834,-83.1024,4362615,Marquan,McCall,369.0,75.0,50.0,3.0,DL,USA
3,Detroit,MI,42.3834,-83.1024,4362621,DeAndre,Square,217.0,73.0,17.0,3.0,LB,USA
4,Cleveland,OH,41.4767,-81.6805,4240782,Asim,Rose,210.0,73.0,10.0,4.0,RB,USA
5,Cleveland,OH,41.4767,-81.6805,4587301,Patrick,Delahunty,229.0,72.0,17.0,2.0,QB,USA
6,Cleveland,OH,41.4767,-81.6805,4259985,Colin,Goodfellow,237.0,74.0,94.0,4.0,P,USA
7,Cincinnati,OH,39.1412,-84.506,4362616,Chris,Oats,232.0,75.0,22.0,3.0,LB,USA
8,Cincinnati,OH,39.1412,-84.506,4362626,Quintin,Wilson,309.0,73.0,60.0,2.0,C,USA
9,Cincinnati,OH,39.1412,-84.506,4035055,Zach,Johnson,190.0,70.0,28.0,4.0,DB,USA
10,Cincinnati,OH,39.1412,-84.506,4362603,Brenden,Bates,247.0,76.0,80.0,2.0,TE,USA
11,Jacksonville,FL,30.3322,-81.6749,4362612,Nick,Lewis,343.0,81.0,78.0,2.0,OT,USA
12,Memphis,TN,35.1046,-89.9773,4567979,Brandin,Echols,175.0,71.0,26.0,4.0,DB,USA
13,Louisville,KY,38.1663,-85.6485,4430002,Shawn'Kel,Knight-Goff,227.0,74.0,35.0,1.0,LB,USA
14,Louisville,KY,38.1663,-85.6485,4587306,Keegan,Sullivan,173.0,74.0,21.0,1.0,QB,USA
15,Louisville,KY,38.1663,-85.6485,4429383,Jared,Casey,229.0,75.0,6.0,1.0,LB,USA
16,Louisville,KY,38.1663,-85.6485,4428817,J.J.,Weaver,244.0,77.0,13.0,1.0,LB,USA
17,Louisville,KY,38.1663,-85.6485,4567980,Manny,Harper,187.0,68.0,45.0,3.0,WR,USA
18,Louisville,KY,38.1663,-85.6485,4548973,Jordan,Morrow,210.0,73.0,54.0,2.0,LS,USA
19,Louisville,KY,38.1663,-85.6485,4429483,Tae Tae,Crumes,184.0,73.0,82.0,1.0,WR,USA
20,Oklahoma City,OK,35.4676,-97.5137,4038940,Terry,Wilson,205.0,75.0,3.0,4.0,QB,USA
21,Knoxville,TN,35.9692,-83.9496,4362611,Darian,Kinnard,347.0,77.0,70.0,3.0,OT,USA
22,Baton Rouge,LA,30.4419,-91.131,4362629,Kelvin,Joseph,197.0,73.0,1.0,2.0,DB,USA
23,Columbia,SC,34.0376,-80.9037,4429655,Jalen,Geiger,190.0,73.0,34.0,1.0,DB,USA
24,Toledo,OH,41.6639,-83.5822,4426841,Cavon,Butler,302.0,75.0,98.0,1.0,DL,USA
25,Toledo,OH,41.6639,-83.5822,4259989,Phil,Hoskins,310.0,77.0,92.0,4.0,DT,USA
26,Augusta,GA,33.3645,-82.0708,3915253,Calvin,Taylor Jr.,310.0,81.0,91.0,4.0,DE,USA
27,Youngstown,OH,41.0993,-80.6463,4259979,Lynn,Bowden Jr.,199.0,73.0,1.0,3.0,WR,USA
28,Lexington,KY,38.0423,-84.4587,4240786,Walker,Wood,189.0,72.0,17.0,2.0,QB,USA
29,Lexington,KY,38.0423,-84.4587,3928908,Elijah,Barnett,236.0,75.0,39.0,4.0,LB,USA
30,Lexington,KY,38.0423,-84.4587,4035079,Landon,Young,321.0,79.0,67.0,4.0,OT,USA
31,Lexington,KY,38.0423,-84.4587,4035066,Davonte,Robinson,208.0,74.0,9.0,4.0,DB,USA
32,Lexington,KY,38.0423,-84.4587,4372103,Zac,Berezowitz,187.0,72.0,24.0,3.0,DB,USA
33,Lakeland,FL,28.0557,-81.9545,4259974,Abule,Abadi-Fitzgerald,285.0,78.0,94.0,3.0,DT,USA
34,Clarksville,TN,36.5696,-87.3428,4372113,Jaylen,Scott,195.0,70.0,33.0,3.0,DB,USA
35,Fort Lauderdale,FL,26.1412,-80.1464,4362607,Stanley,Garner,186.0,73.0,37.0,1.0,CB,USA
36,Fort Lauderdale,FL,26.1412,-80.1464,4362617,Bryce,Oliver,212.0,73.0,85.0,2.0,WR,USA
37,Fort Lauderdale,FL,26.1412,-80.1464,4260001,Jordan,Wright,237.0,77.0,15.0,3.0,LB,USA
38,Fort Lauderdale,FL,26.1412,-80.1464,4428154,Nik,Ognenovic,249.0,77.0,87.0,1.0,TE,USA
39,Fort Lauderdale,FL,26.1412,-80.1464,4430452,Nik,Scalzo,173.0,72.0,16.0,1.0,QB,USA
40,Fort Lauderdale,FL,26.1412,-80.1464,4428255,Jake,Pope,297.0,79.0,76.0,1.0,OT,USA
41,Hollywood,FL,26.0294,-80.1679,4362608,Davoan,Hawkins,286.0,74.0,55.0,1.0,DL,USA
42,Hollywood,FL,26.0294,-80.1679,4362609,Akeem,Hayes,155.0,68.0,19.0,2.0,WR,USA
43,Hollywood,FL,26.0294,-80.1679,4259976,Josh,Ali,190.0,72.0,6.0,4.0,WR,USA
44,Metairie,LA,29.9976,-90.1781,4259992,William,Nalty,224.0,72.0,38.0,4.0,LB,USA
45,Norman,OK,35.2335,-97.3471,4372107,Darren,Edmond,194.0,71.0,31.0,3.0,WR,USA
46,Miami Gardens,FL,25.9433,-80.2426,4362602,Marvin,Alexander,189.0,75.0,84.0,1.0,WR,USA
47,Miami Gardens,FL,25.9433,-80.2426,-1015949,Marvin,Alexander,189.0,75.0,84.0,,WR,USA
48,Charlottesville,VA,38.0375,-78.4855,4587303,Ben,Drake,192.0,73.0,30.0,2.0,DB,USA
49,Sunrise,FL,26.1547,-80.2997,4362604,Jamari,Brown,197.0,73.0,32.0,2.0,DB,USA
50,Laurel,MD,39.095,-76.8622,4259999,Naasir,Watkins,294.0,77.0,66.0,3.0,OT,USA
51,Newport,KY,39.0855,-84.4868,4259986,Patrick,Henschen,232.0,78.0,36.0,3.0,TE,USA
52,Johns Creek,GA,34.0333,-84.2026,4428840,Micah,White,180.0,75.0,34.0,1.0,WR,USA
53,Springfield,OH,39.9297,-83.7957,4035058,Kordell,Looney,290.0,75.0,59.0,4.0,DE,USA
54,Springfield,OH,39.9297,-83.7957,4427099,Moses,Douglass,197.0,74.0,11.0,1.0,DB,USA
55,Springfield,OH,39.9297,-83.7957,4454902,Isaiah,Gibson,290.0,75.0,96.0,1.0,DE,USA
56,Valdosta,GA,30.8502,-83.2788,4427511,Travis,Tisdale,181.0,69.0,33.0,1.0,RB,USA
57,Anderson,SC,34.5212,-82.6478,4362618,Chance,Poore,215.0,74.0,12.0,2.0,PK,USA
58,Mansfield,OH,40.7656,-82.5275,4259975,Tyrell,Ajian,192.0,72.0,23.0,3.0,DB,USA
59,Lima,OH,40.741,-84.1121,4362623,Keaton,Upshaw,244.0,78.0,88.0,2.0,TE,USA
60,Sanford,FL,28.7893,-81.276,4362610,Kenneth,Horsey,292.0,75.0,68.0,2.0,G,USA
61,Palm Beach Gardens,FL,26.8486,-80.166,4240779,Cedrick,Dort Jr.,183.0,71.0,3.0,3.0,DB,USA
62,Parker,CO,39.5084,-104.7755,4035070,Drew,Schlegel,218.0,71.0,46.0,4.0,TE,USA
63,Brunswick,GA,31.145,-81.474,4567981,Quandre,Mosely,186.0,74.0,21.0,4.0,DB,USA
64,Madison,AL,34.7114,-86.7626,3915252,Logan,Stenberg,322.0,78.0,71.0,4.0,G,USA
65,Paducah,KY,37.0711,-88.6435,4587300,Lance,Butler,175.0,73.0,95.0,1.0,PK,USA
66,Findlay,OH,41.0467,-83.6379,4035059,Grant,McKinniss,204.0,73.0,,4.0,P,USA
67,Mableton,GA,33.8132,-84.5656,4035044,T.J.,Carter,289.0,76.0,90.0,4.0,DE,USA
68,Huber Heights,OH,39.8595,-84.113,3935018,Ahmad,Wagner,234.0,77.0,14.0,4.0,WR,USA
69,Mason,OH,39.3571,-84.3023,4259990,Alex,King,249.0,75.0,58.0,2.0,LB,USA
70,Hopkinsville,KY,36.8383,-87.4779,4372110,Kolbe,Langhi,235.0,76.0,15.0,2.0,QB,USA
71,Nicholasville,KY,37.8904,-84.5668,4426981,Eli,Cox,306.0,76.0,75.0,1.0,G,USA
72,Nicholasville,KY,37.8904,-84.5668,4372112,Matthew,Napier,326.0,78.0,73.0,3.0,OT,USA
