,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,4035367,Korey,Charles,185.0,70.0,16.0,4.0,CB,USA
1,Houston,TX,29.7869,-95.3905,4047616,Jace,Christmann,195.0,72.0,47.0,4.0,PK,USA
2,Indianapolis,IN,39.7771,-86.1458,3791110,Tommy,Stevens,235.0,77.0,7.0,4.0,QB,USA
3,Charlotte,NC,35.2079,-80.8304,4426966,Garrett,Shrader,215.0,76.0,6.0,2.0,QB,USA
4,Nashville,TN,36.1715,-86.7843,4568063,JaVonta,Payton,180.0,73.0,0.0,4.0,WR,USA
5,Memphis,TN,35.1046,-89.9773,3791116,Deddrick,Thomas,190.0,69.0,2.0,4.0,WR,USA
6,Memphis,TN,35.1046,-89.9773,4362717,Vincent,Taylor,190.0,70.0,16.0,2.0,WR,USA
7,Memphis,TN,35.1046,-89.9773,4362903,Devon,Robinson,300.0,76.0,45.0,2.0,DT,USA
8,New Orleans,LA,30.0687,-89.9288,4242243,Keytaon,Thompson,225.0,76.0,10.0,3.0,QB,USA
9,New Orleans,LA,30.0687,-89.9288,4362707,Devonta,Jason,225.0,75.0,3.0,2.0,WR,USA
10,New Orleans,LA,30.0687,-89.9288,4362709,Somon,Anderson,200.0,72.0,25.0,3.0,S,USA
11,Birmingham,AL,33.5277,-86.7987,3917281,Nick,Gibson,215.0,71.0,21.0,4.0,RB,USA
12,Birmingham,AL,33.5277,-86.7987,4428915,Lee,Witherspoon,195.0,70.0,22.0,2.0,RB,USA
13,Birmingham,AL,33.5277,-86.7987,4360821,Allen,Love,285.0,74.0,95.0,2.0,DT,USA
14,Birmingham,AL,33.5277,-86.7987,4259820,R.J.,Jennings,235.0,72.0,51.0,4.0,LB,USA
15,Sarasota,FL,27.3386,-82.543,4035386,Osirus,Mitchell,210.0,77.0,5.0,4.0,WR,USA
16,Pensacola,FL,30.4427,-87.1886,4429568,Martin,Emerson,195.0,74.0,1.0,2.0,CB,USA
17,Jackson,MS,32.3163,-90.2124,4259819,Aaron,Odom,275.0,75.0,17.0,3.0,DE,USA
18,Jackson,MS,32.3163,-90.2124,3791117,Malik,Dear,220.0,69.0,9.0,4.0,WR,USA
19,Jackson,MS,32.3163,-90.2124,4242246,Tommy,Champion,320.0,77.0,70.0,4.0,OL,USA
20,Jackson,MS,32.3163,-90.2124,4426413,De'Monte,Russell,250.0,76.0,9.0,1.0,LB,USA
21,Jackson,MS,32.3163,-90.2124,4259822,Cordavien,Suggs,310.0,78.0,77.0,3.0,OL,USA
22,Montgomery,AL,32.3473,-86.2666,4427115,Collin,Duncan,205.0,72.0,19.0,2.0,S,USA
23,Ocala,FL,29.178,-82.1511,4362710,Robert,Rivers,210.0,71.0,32.0,2.0,RB,USA
24,Hollywood,FL,26.0294,-80.1679,3921566,Sh'mar,Kilby-Lane,230.0,74.0,30.0,4.0,LB,USA
25,Metairie,LA,29.9976,-90.1781,4362897,Aaron,Brule,230.0,73.0,3.0,2.0,LB,USA
26,Saginaw,MI,43.4199,-83.9501,3672884,Brian,Cole II,210.0,74.0,32.0,4.0,S,USA
27,Saginaw,MI,43.4199,-83.9501,-1021890,Brian,Cole II,210.0,74.0,32.0,,S,USA
28,Monroe,LA,32.5183,-92.0775,4362892,Geor'quarius,Spivey,240.0,77.0,11.0,2.0,WR,USA
29,Abilene,TX,32.4543,-99.7384,4362711,Cason,Grant,180.0,71.0,38.0,1.0,WR,USA
30,Irvington,NJ,40.7243,-74.2317,-1021980,Kareem,Walker,225.0,74.0,23.0,,RB,USA
31,Rio Rancho,NM,35.2872,-106.6981,4259809,Londyn,Craft,200.0,72.0,28.0,3.0,S,USA
32,Hattiesburg,MS,31.3074,-89.317,4362910,Jaden,Crumedy,300.0,77.0,94.0,2.0,DT,USA
33,Hattiesburg,MS,31.3074,-89.317,4575214,Camp,Tice,195.0,76.0,47.0,1.0,WR,USA
34,Franklin,TN,35.9216,-86.8525,4047635,Tristan,Pisacane,180.0,69.0,24.0,3.0,WR,USA
35,Florence,AL,34.8303,-87.6654,4035371,Erroll,Thompson,250.0,73.0,40.0,4.0,LB,USA
36,Hammond,LA,30.5061,-90.4563,4035385,Cameron,Dantzler,185.0,74.0,3.0,3.0,CB,USA
37,Bossier City,LA,32.5227,-93.6667,4035368,C.J.,Morgan,200.0,72.0,29.0,4.0,S,USA
38,Hendersonville,TN,36.3063,-86.5998,4426490,Izuchukwu,King Ani,255.0,76.0,4.0,1.0,DE,USA
39,Minnetonka,MN,44.9332,-93.4617,4259825,Powers,Warren,235.0,75.0,88.0,3.0,WR,USA
40,Pascagoula,MS,30.3665,-88.5507,4242250,James,Jackson,330.0,75.0,71.0,3.0,OL,USA
41,Pascagoula,MS,30.3665,-88.5507,4362716,Paul,Blackwell,205.0,70.0,43.0,4.0,LS,USA
