,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Dallas,TX,32.7936,-96.7662,4035103,DeMarkus,Acy,195.0,74.0,2.0,4.0,DB,USA
1,Dallas,TX,32.7936,-96.7662,4429317,Z'Core,Brooks,245.0,77.0,92.0,1.0,DL,USA
2,Philadelphia,PA,40.0077,-75.1339,4241213,Yasir,Durant,330.0,79.0,70.0,4.0,OL,USA
3,Houston,TX,29.7869,-95.3905,4241199,Joshuah,Bledsoe,200.0,72.0,18.0,4.0,S,USA
4,Houston,TX,29.7869,-95.3905,4241216,Kobie,Whiteside,300.0,73.0,78.0,4.0,DL,USA
5,Detroit,MI,42.3834,-83.1024,4569482,Devin,Nicholson,230.0,75.0,58.0,2.0,LB,USA
6,Kansas City,MO,39.1239,-94.5541,4259856,Chance,May,210.0,73.0,41.0,3.0,LB,USA
7,Charlotte,NC,35.2079,-80.8304,4362755,Gerald,Nathan Jr.,210.0,73.0,16.0,2.0,LB,USA
8,Charlotte,NC,35.2079,-80.8304,-1022296,Gerald,"Nathan, Jr.",215.0,73.0,16.0,,LB,USA
9,Memphis,TN,35.1046,-89.9773,4362748,Tyler,Badie,200.0,69.0,1.0,3.0,RB,USA
10,Memphis,TN,35.1046,-89.9773,3924325,Johnathon,Johnson,180.0,70.0,12.0,4.0,WR,USA
11,Memphis,TN,35.1046,-89.9773,4241208,Aubrey,Miller Jr.,225.0,74.0,22.0,3.0,LB,USA
12,Memphis,TN,35.1046,-89.9773,-1022292,Aubrey,"Miller, Jr.",225.0,74.0,22.0,,LB,USA
13,New Orleans,LA,30.0687,-89.9288,4035451,Sci,Martin Jr.,250.0,75.0,49.0,4.0,DL,USA
14,New Orleans,LA,30.0687,-89.9288,-1022285,Sci,"Martin, Jr.",225.0,75.0,49.0,,DL,USA
15,Raleigh,NC,35.8324,-78.6438,4241205,Larry,Rountree III,210.0,70.0,34.0,4.0,RB,USA
16,Fort Worth,TX,32.7812,-97.3472,4569481,Anthony,Watkins,200.0,72.0,19.0,1.0,RB,USA
17,Dayton,OH,39.7797,-84.1998,4426444,Connor,Bazelak,220.0,75.0,8.0,1.0,QB,USA
18,Tulsa,OK,36.1284,-95.9043,4035100,Micah,Wilson,204.0,75.0,2.0,4.0,WR,USA
19,Tulsa,OK,36.1284,-95.9043,4427963,Isaiah,McGuire,280.0,77.0,99.0,2.0,DL,USA
20,Baton Rouge,LA,30.4419,-91.131,4241198,Adam,Sparks,175.0,72.0,14.0,4.0,DB,USA
21,Little Rock,AR,34.7255,-92.358,4035110,Markell,Utsey,295.0,76.0,90.0,4.0,DL,USA
22,Denton,TX,33.2176,-97.1419,4381248,Tauskie,Dove,200.0,75.0,86.0,2.0,WR,USA
23,Arlington,TX,32.6998,-97.1251,4428361,Thalen,Robinson,350.0,79.0,77.0,2.0,OL,USA
24,Fayetteville,AR,36.0713,-94.166,4241220,Akial,Byers,305.0,76.0,97.0,4.0,DL,USA
25,Fayetteville,AR,36.0713,-94.166,4241193,Taylor,Powell,210.0,74.0,5.0,3.0,QB,USA
26,Fayetteville,AR,36.0713,-94.166,4259800,Barrett,Banister,200.0,72.0,11.0,3.0,WR,USA
27,Springfield,MO,37.1943,-93.2915,4569489,Logan,Brock,210.0,73.0,98.0,1.0,PK,USA
28,Springfield,MO,37.1943,-93.2915,4362761,Mason,Pack,205.0,72.0,35.0,4.0,DB,USA
29,Glendale,AZ,33.5797,-112.2258,4362766,Xavier,Delgado,320.0,77.0,72.0,2.0,OL,USA
30,Gulfport,MS,30.4271,-89.0703,3924314,Richaud,Floyd,195.0,71.0,17.0,4.0,DB,USA
31,Rancho Cucamonga,CA,34.1248,-117.5666,4569485,Angel,Matute,300.0,75.0,74.0,4.0,OL,USA
32,Frisco,TX,33.1554,-96.8217,4362759,Nick,Bolton,232.0,72.0,32.0,3.0,LB,USA
33,Ocala,FL,29.178,-82.1511,4241195,Tyree,Gillespie,210.0,72.0,9.0,4.0,S,USA
34,Springfield,IL,39.771,-89.6537,4035115,Albert,Okwuegbunam,255.0,77.0,81.0,3.0,TE,USA
35,Columbia,MO,38.9477,-92.3255,4035117,Tre,Williams,260.0,77.0,93.0,4.0,DL,USA
36,Columbia,MO,38.9477,-92.3255,4259937,Sean,Koetting,230.0,75.0,90.0,3.0,PK,USA
37,Columbia,MO,38.9477,-92.3255,3924312,Jonah,Dubinski,295.0,74.0,67.0,4.0,OL,USA
38,Columbia,MO,38.9477,-92.3255,4569486,Chris,Williams,250.0,75.0,88.0,3.0,DL,USA
39,Columbia,MO,38.9477,-92.3255,4427879,Martez,Manuel,200.0,73.0,31.0,2.0,S,USA
40,Columbia,MO,38.9477,-92.3255,4259928,Carson,McCarty,177.0,71.0,30.0,3.0,WR,USA
41,Columbia,MO,38.9477,-92.3255,4381242,Bryson,Clayton,225.0,75.0,38.0,2.0,LB,USA
42,Columbia,MO,38.9477,-92.3255,4381247,Zac,Schachtner,240.0,77.0,85.0,2.0,TE,USA
43,Round Rock,TX,30.5254,-97.6659,4362757,Simi,Bakare,210.0,71.0,20.0,3.0,RB,USA
44,Renton,WA,47.4758,-122.1905,4036885,James,Workman,220.0,72.0,86.0,3.0,LS,USA
45,Jefferson City,MO,38.5676,-92.1759,4047310,Daniel,Ellinger,207.0,76.0,36.0,4.0,WR,USA
46,Meridian,ID,43.6112,-116.3968,3122676,Khalil,Oliver,210.0,73.0,20.0,4.0,S,USA
47,Lawrence,KS,38.9598,-95.2641,4259865,Drew,Wise,240.0,74.0,51.0,3.0,LS,USA
48,Plantation,FL,26.126,-80.2617,4047307,Myles,Eaddy,247.0,72.0,52.0,4.0,DL,USA
49,Slidell,LA,30.2881,-89.7826,4429348,Ishmael,Burdine,190.0,73.0,24.0,1.0,DB,USA
50,Albany,GA,31.5776,-84.1762,4430310,Jamie,Pettway,235.0,74.0,29.0,1.0,LB,USA
51,Suffolk,VA,36.6953,-76.6398,4428472,Chris,Shearin,190.0,71.0,5.0,2.0,DB,USA
52,Plymouth,MN,45.0224,-93.4615,4381251,Matthew,Jaeger,180.0,73.0,92.0,1.0,PK,USA
53,Missouri City,TX,29.563,-95.5365,4039052,Jordan,Elliott,315.0,76.0,1.0,3.0,DL,USA
54,Missouri City,TX,29.563,-95.5365,4362760,Chad,Bailey,230.0,72.0,33.0,2.0,LB,USA
55,Hammond,LA,30.5061,-90.4563,4241207,Chris,Turner,270.0,76.0,39.0,4.0,DL,USA
56,Mansfield,TX,32.569,-97.1211,4362751,Jalen,Knox,196.0,72.0,9.0,3.0,WR,USA
57,Kenner,LA,30.0109,-90.2549,3924323,Tyrell,Jacobs,285.0,76.0,94.0,4.0,DL,USA
58,Rogers,AR,36.3172,-94.1518,4259873,Joe,Britton,225.0,73.0,36.0,3.0,LB,USA
59,Euless,TX,32.8508,-97.0799,4039048,Chris,Daniels,315.0,76.0,13.0,4.0,DL,USA
60,Blue Springs,MO,39.0123,-94.2722,4362763,Daniel,Parker Jr.,245.0,76.0,82.0,3.0,TE,USA
61,Blue Springs,MO,39.0123,-94.2722,4381249,Cade,Musser,185.0,69.0,87.0,2.0,WR,USA
62,Blue Springs,MO,39.0123,-94.2722,4381250,Josh,Dodge,190.0,72.0,91.0,2.0,P,USA
63,Blue Springs,MO,39.0123,-94.2722,-1022301,Daniel,"Parker, Jr.",260.0,76.0,82.0,,TE,USA
64,Apopka,FL,28.7013,-81.5303,4362750,Jarvis,Ware,190.0,73.0,8.0,3.0,DB,USA
65,Carrollton,GA,33.5818,-85.0837,4241212,Case,Cook,300.0,77.0,59.0,3.0,OL,USA
