,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,New York,NY,40.6943,-73.9249,3930079,Austrian,Robinson,300.0,76.0,38.0,4.0,DE,USA
1,Houston,TX,29.7869,-95.3905,4372413,Miles,Battle,195.0,75.0,6.0,2.0,WR,USA
2,Houston,TX,29.7869,-95.3905,4047654,D'Vaughn,Pennamon,230.0,71.0,28.0,4.0,TE,USA
3,Atlanta,GA,33.7627,-84.4225,4372427,Hamilton,Hall,295.0,76.0,77.0,2.0,OL,USA
4,Bronx,NY,40.8501,-73.8662,3916473,Qaadir,Sheppard,252.0,75.0,97.0,4.0,DE,USA
5,Jacksonville,FL,30.3322,-81.6749,4259924,Sincere,David,320.0,74.0,93.0,3.0,DT,USA
6,Nashville,TN,36.1715,-86.7843,3930083,Alex,Givens,308.0,78.0,67.0,4.0,OL,USA
7,Memphis,TN,35.1046,-89.9773,4381289,Nic,Cantu,284.0,76.0,76.0,1.0,OL,USA
8,Memphis,TN,35.1046,-89.9773,4575221,Sellers,Shy,190.0,72.0,15.0,1.0,WR,USA
9,Birmingham,AL,33.5277,-86.7987,4242425,Brenden,Williams,238.0,75.0,41.0,4.0,LB,USA
10,Jackson,MS,32.3163,-90.2124,4381281,Nevin,Wells,200.0,73.0,23.0,2.0,WR,USA
11,Mobile,AL,30.6782,-88.1163,4427190,A.J.,Finley,200.0,74.0,21.0,2.0,DB,USA
12,Mobile,AL,30.6782,-88.1163,4426979,LeDarrius,Cox,315.0,76.0,7.0,1.0,DL,USA
13,Mobile,AL,30.6782,-88.1163,4259916,Ty,Rocconi,190.0,71.0,47.0,3.0,DB,USA
14,Mobile,AL,30.6782,-88.1163,4259918,Samuel,Plash,300.0,74.0,59.0,3.0,OL,USA
15,Plano,TX,33.0502,-96.7487,4259915,MoMo,Sanogo,240.0,73.0,46.0,3.0,LB,USA
16,Plano,TX,33.0502,-96.7487,-1021610,MoMo,Sanogo,244.0,74.0,46.0,,ILB,USA
17,Columbus,GA,32.51,-84.8771,4259923,Drake,Beck,190.0,71.0,86.0,3.0,WR,USA
18,Montgomery,AL,32.3473,-86.2666,4372420,Jakorey,Hawkins,195.0,71.0,23.0,2.0,DB,USA
19,Montgomery,AL,32.3473,-86.2666,4567252,Brandon,Mack,235.0,76.0,4.0,1.0,LB,USA
20,Montgomery,AL,32.3473,-86.2666,4567242,Sam,Williams,265.0,76.0,13.0,4.0,LB,USA
21,Gulfport,MS,30.4271,-89.0703,4428301,Bryce,Ramsey,340.0,73.0,75.0,1.0,OL,USA
