,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,4038843,Keir,Thomas,270.0,74.0,5.0,4.0,DL,USA
1,Miami,FL,25.7839,-80.2102,4035696,Jamel,Cook,200.0,76.0,31.0,3.0,S,USA
2,Miami,FL,25.7839,-80.2102,4570677,Mark,Fox,295.0,76.0,58.0,1.0,OL,USA
3,Houston,TX,29.7869,-95.3905,4259504,Eldridge,Thompson,225.0,73.0,11.0,4.0,LB,USA
4,Atlanta,GA,33.7627,-84.4225,4385457,Kingsley,Enagbare,,76.0,52.0,,DL,USA
5,Atlanta,GA,33.7627,-84.4225,4362840,Kingsley,Enagbare,275.0,76.0,52.0,3.0,DL,USA
6,Atlanta,GA,33.7627,-84.4225,4259502,Aaron,Sterling,250.0,73.0,15.0,4.0,DL,USA
7,Atlanta,GA,33.7627,-84.4225,4038813,Randrecous,Davis,190.0,70.0,8.0,4.0,WR,USA
8,Atlanta,GA,33.7627,-84.4225,4429599,Rodricus,Fitten,245.0,73.0,16.0,1.0,S,USA
9,Tampa,FL,27.9942,-82.4451,4571615,John,Dixon,185.0,72.0,22.0,2.0,DB,USA
10,Charlotte,NC,35.2079,-80.8304,4362845,Jovaughn,Gwyn,300.0,74.0,54.0,2.0,OL,USA
11,Charlotte,NC,35.2079,-80.8304,4428120,Jaylen,Nichols,320.0,77.0,52.0,2.0,OL,USA
12,Charlotte,NC,35.2079,-80.8304,4373568,Max,Durschlag,205.0,68.0,63.0,2.0,LS,USA
13,Charlotte,NC,35.2079,-80.8304,4259485,Eric,Douglas,310.0,76.0,71.0,3.0,OL,USA
14,Memphis,TN,35.1046,-89.9773,4428079,Keveon,Mullins,227.0,73.0,80.0,1.0,TE,USA
15,Raleigh,NC,35.8324,-78.6438,4570673,Connor,Jordan,210.0,75.0,14.0,1.0,QB,USA
16,Raleigh,NC,35.8324,-78.6438,4038817,Spencer,Eason-Riddle,225.0,72.0,45.0,4.0,LB,USA
17,Birmingham,AL,33.5277,-86.7987,4038824,Griffin,Gentry,275.0,73.0,50.0,3.0,DL,USA
18,Charleston,SC,32.8151,-79.963,4259491,Javon,Kinlaw,310.0,78.0,3.0,4.0,DL,USA
19,Columbia,SC,34.0376,-80.9037,4038811,T.J.,Brunson,230.0,73.0,6.0,4.0,LB,USA
20,Columbia,SC,34.0376,-80.9037,4362856,Patrick,Reedy,260.0,79.0,83.0,2.0,TE,USA
