,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,4242438,Deandre,Johnson,246.0,75.0,13.0,4.0,LB,USA
1,Philadelphia,PA,40.0077,-75.1339,4570562,Romello,Edwards,187.0,72.0,7.0,2.0,DB,USA
2,Philadelphia,PA,40.0077,-75.1339,4032754,Jahmir,Johnson,286.0,77.0,58.0,4.0,OL,USA
3,Washington,DC,38.9047,-77.0163,4570575,Savion,Williams,295.0,76.0,50.0,4.0,DL,USA
4,Washington,DC,38.9047,-77.0163,4241937,Kasim,Hill,234.0,74.0,11.0,3.0,QB,USA
5,Atlanta,GA,33.7627,-84.4225,4270055,Grant,Frerking,209.0,77.0,38.0,3.0,WR,USA
6,Atlanta,GA,33.7627,-84.4225,4242452,Solon,Page III,218.0,74.0,38.0,3.0,LB,USA
7,San Diego,CA,32.8312,-117.1225,4369840,Dominick,Wood-Anderson,257.0,76.0,4.0,4.0,TE,USA
8,Las Vegas,NV,36.2333,-115.2654,4369863,Cedric,Tillman,215.0,75.0,85.0,2.0,WR,USA
9,Sacramento,CA,38.5667,-121.4683,4426350,Henry,To'o To'o,235.0,74.0,11.0,2.0,LB,USA
10,Orlando,FL,28.4772,-81.3369,4369853,Kingston,Harris,302.0,75.0,54.0,2.0,DL,USA
11,Cincinnati,OH,39.1412,-84.506,4570564,Michael,Bittner,214.0,74.0,17.0,2.0,QB,USA
12,Charlotte,NC,35.2079,-80.8304,4426345,Quavaris,Crouch,241.0,74.0,27.0,2.0,LB,USA
13,Nashville,TN,36.1715,-86.7843,4242436,Theo,Jackson,190.0,74.0,26.0,4.0,DB,USA
14,Nashville,TN,36.1715,-86.7843,4242442,Princeton,Fant,234.0,74.0,88.0,3.0,TE,USA
15,Nashville,TN,36.1715,-86.7843,4242431,Ty,Chandler,209.0,71.0,8.0,4.0,RB,USA
16,Nashville,TN,36.1715,-86.7843,4035177,Daniel,Bituli,252.0,75.0,35.0,4.0,LB,USA
17,Nashville,TN,36.1715,-86.7843,4242451,Brent,Cimaglia,210.0,72.0,42.0,4.0,PK,USA
18,Nashville,TN,36.1715,-86.7843,4369850,Nyles,Gaddy,231.0,76.0,57.0,2.0,LB,USA
19,Nashville,TN,36.1715,-86.7843,4426465,Jackson,Lampley,315.0,76.0,50.0,1.0,OL,USA
20,Nashville,TN,36.1715,-86.7843,4260254,Jay,Shoop,194.0,73.0,10.0,3.0,DB,USA
21,Nashville,TN,36.1715,-86.7843,4047328,Chip,Omer,204.0,72.0,42.0,3.0,RB,USA
22,Memphis,TN,35.1046,-89.9773,4570561,Eric,Gray,200.0,70.0,3.0,2.0,RB,USA
23,Memphis,TN,35.1046,-89.9773,4369837,Garrett,Johnson,179.0,71.0,9.0,2.0,DB,USA
24,Memphis,TN,35.1046,-89.9773,4430478,Elijah,Simmons,340.0,74.0,51.0,1.0,DL,USA
25,Memphis,TN,35.1046,-89.9773,4369859,Jerome,Carvin,313.0,77.0,75.0,3.0,OL,USA
26,Memphis,TN,35.1046,-89.9773,4242454,Jake,Powers,201.0,72.0,43.0,3.0,DB,USA
27,Richmond,VA,37.5295,-77.4756,4369846,Tanner,Dobrucky,193.0,69.0,36.0,3.0,WR,USA
28,New Orleans,LA,30.0687,-89.9288,4242449,Terrell,Bailey,188.0,71.0,36.0,2.0,DB,USA
29,New Orleans,LA,30.0687,-89.9288,4369843,Brandon,Davis,160.0,70.0,29.0,1.0,DB,USA
30,Raleigh,NC,35.8324,-78.6438,4242457,Matthew,Butler,289.0,76.0,94.0,4.0,DL,USA
31,Birmingham,AL,33.5277,-86.7987,4369861,Jarious,Abercrombie,300.0,76.0,79.0,2.0,OL,USA
32,Knoxville,TN,35.9692,-83.9496,4035183,Austin,Pope,235.0,76.0,81.0,4.0,TE,USA
33,Knoxville,TN,35.9692,-83.9496,4242456,Joe,Doyle,204.0,72.0,47.0,2.0,P,USA
34,Knoxville,TN,35.9692,-83.9496,4369864,Jacob,Warren,244.0,78.0,87.0,2.0,TE,USA
35,Knoxville,TN,35.9692,-83.9496,4360790,Braden,Collins,200.0,74.0,84.0,2.0,WR,USA
36,Knoxville,TN,35.9692,-83.9496,4570571,West,Shuler,225.0,73.0,39.0,2.0,LB,USA
37,Knoxville,TN,35.9692,-83.9496,4570574,Cameron,Miller,206.0,70.0,46.0,1.0,RB,USA
38,Knoxville,TN,35.9692,-83.9496,4570582,Darel,Middleton,305.0,79.0,97.0,4.0,DL,USA
39,Knoxville,TN,35.9692,-83.9496,4035185,Andrew,Craig,244.0,76.0,86.0,3.0,TE,USA
40,Chattanooga,TN,35.0657,-85.2487,4247460,Tyrik,Stewart,195.0,72.0,33.0,3.0,DB,USA
41,Mobile,AL,30.6782,-88.1163,4242440,Shawn,Shamburger,185.0,71.0,12.0,4.0,DB,USA
42,Huntsville,AL,34.6988,-86.6412,4242447,Will,Ignont,225.0,73.0,35.0,3.0,LB,USA
43,Santa Clarita,CA,34.4155,-118.4992,4369839,J.T.,Shrout,213.0,75.0,12.0,2.0,QB,USA
44,Santa Clarita,CA,34.4155,-118.4992,-1034229,J.T.,Shrout,213.0,75.0,12.0,,QB,USA
45,Savannah,GA,32.0281,-81.1785,4570577,Wanya,Morris,315.0,77.0,64.0,2.0,OL,USA
46,Lafayette,LA,30.2084,-92.0323,4369849,Kenneth,George Jr.,201.0,71.0,41.0,3.0,DB,USA
47,Myrtle Beach,SC,33.7096,-78.8842,4428549,Kenney,Solomon,176.0,72.0,31.0,2.0,DB,USA
48,Clarksville,TN,36.5696,-87.3428,4570572,Fred,Orr,205.0,71.0,40.0,1.0,RB,USA
49,Clarksville,TN,36.5696,-87.3428,4050315,Matt,Ballard,229.0,72.0,40.0,3.0,LB,USA
50,Fort Lauderdale,FL,26.1412,-80.1464,4242464,Kivon,Bennett,235.0,74.0,95.0,3.0,LB,USA
51,Fort Lauderdale,FL,26.1412,-80.1464,4035198,Brandon,Johnson,202.0,74.0,7.0,4.0,WR,USA
52,Fort Lauderdale,FL,26.1412,-80.1464,-1034191,Brandon,Johnson,195.0,74.0,7.0,,WR,USA
53,Murfreesboro,TN,35.8493,-86.4117,3886598,Jauan,Jennings,208.0,75.0,15.0,4.0,WR,USA
54,Ocala,FL,29.178,-82.1511,4427928,Brian,Maurer,195.0,75.0,18.0,2.0,QB,USA
55,Warner Robins,GA,32.5975,-83.6526,4035170,Marquez,Callaway,204.0,74.0,1.0,4.0,WR,USA
56,Fairfield,CA,38.2594,-122.0319,4029573,Jordan,Allen,241.0,76.0,86.0,4.0,TE,USA
57,Clearwater,FL,27.9788,-82.7624,4242443,Jacquez,Jones,171.0,70.0,21.0,2.0,WR,USA
58,Lodi,NJ,40.8784,-74.0814,4035167,Jarrett,Guarantano,215.0,76.0,2.0,4.0,QB,USA
59,Fort Myers,FL,26.6195,-81.8303,4242444,Shanon,Reid,224.0,72.0,21.0,3.0,LB,USA
60,Jackson,TN,35.6536,-88.8353,4242459,Trey,Smith,335.0,78.0,73.0,4.0,OL,USA
61,Jackson,TN,35.6536,-88.8353,4369857,Greg,Emerson,300.0,75.0,90.0,2.0,DL,USA
62,Daytona Beach,FL,29.1994,-81.0982,4035181,Marcus,Tatum,315.0,78.0,68.0,4.0,OL,USA
63,Marietta,GA,33.9532,-84.5422,4426399,Ramel,Keyton,190.0,75.0,80.0,2.0,WR,USA
64,Rome,GA,34.2662,-85.1862,4570580,Sean,Brown,241.0,77.0,83.0,1.0,TE,USA
65,Morristown,TN,36.2047,-83.3005,4584510,Matthew,Salanasky,235.0,71.0,52.0,2.0,LS,USA
66,Morristown,TN,36.2047,-83.3005,-1034225,Matthew,Salansky,225.0,71.0,52.0,,LS,USA
67,Hendersonville,TN,36.3063,-86.5998,3915384,Riley,Lovingood,216.0,72.0,46.0,4.0,LS,USA
68,Cartersville,GA,34.1632,-84.8007,4426460,Jackson,Lowe,245.0,76.0,82.0,1.0,TE,USA
69,Collierville,TN,35.0471,-89.6988,4570563,Spencer,Smith,200.0,73.0,14.0,2.0,QB,USA
70,Monroe,MI,41.9154,-83.385,4242453,Nick,Humphrey,213.0,73.0,37.0,4.0,LB,USA
71,Paducah,KY,37.0711,-88.6435,4369866,Airin,Spell,297.0,73.0,67.0,2.0,OL,USA
72,Brentwood,TN,35.9918,-86.7758,4570570,Toby,Wilson,174.0,70.0,39.0,2.0,PK,USA
73,Brentwood,TN,35.9918,-86.7758,4035182,Ryan,Johnson,310.0,78.0,70.0,4.0,OL,USA
