,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
0,Miami,FL,25.7839,-80.2102,4362801,Javan,Rice,190.0,74.0,39.0,2.0,PK,USA
1,Miami,FL,25.7839,-80.2102,4035777,DC,Williams,192.0,71.0,5.0,4.0,CB,USA
2,Miami,FL,25.7839,-80.2102,4362805,Tyler,Steen,305.0,77.0,54.0,2.0,OL,USA
3,Miami,FL,25.7839,-80.2102,4037118,Mo,Hasan,205.0,75.0,18.0,3.0,QB,USA
4,Miami,FL,25.7839,-80.2102,-1040664,DC,Williams,192.0,71.0,5.0,,DB,USA
5,Dallas,TX,32.7936,-96.7662,4258513,Luke,Blanton,235.0,74.0,51.0,3.0,LB,USA
6,Philadelphia,PA,40.0077,-75.1339,4035279,Andre,Mintze,246.0,75.0,48.0,4.0,LB,USA
7,Houston,TX,29.7869,-95.3905,4035276,Braden,Kopp,270.0,77.0,89.0,3.0,TE,USA
8,Washington,DC,38.9047,-77.0163,4567540,Brayden,Bapst,270.0,78.0,69.0,1.0,OL,USA
9,Atlanta,GA,33.7627,-84.4225,4362785,Amir,Abdur-Rahman,210.0,76.0,2.0,2.0,WR,USA
10,San Diego,CA,32.8312,-117.1225,4035281,Josiah,Sa'o,295.0,74.0,57.0,3.0,DL,USA
11,San Antonio,TX,29.4658,-98.5254,4372550,Alex,Brown,235.0,74.0,52.0,3.0,LB,USA
12,San Antonio,TX,29.4658,-98.5254,4577536,Tre,Sands,170.0,71.0,27.0,1.0,DB,USA
13,Sacramento,CA,38.5667,-121.4683,4051242,Justice,Shelton-Mosley,196.0,70.0,11.0,4.0,WR,USA
14,Cincinnati,OH,39.1412,-84.506,4580611,Reece,Boggs,230.0,75.0,40.0,2.0,TE,USA
15,Charlotte,NC,35.2079,-80.8304,4567529,Gabe,Jeudy,180.0,73.0,6.0,1.0,CB,USA
16,Jacksonville,FL,30.3322,-81.6749,4035284,Jamauri,Wakefield,220.0,73.0,32.0,4.0,RB,USA
17,Salt Lake City,UT,40.7774,-111.93,4362797,Salua,Masina,225.0,75.0,30.0,1.0,LB,USA
18,Nashville,TN,36.1715,-86.7843,3917612,Ke'Shawn,Vaughn,218.0,70.0,5.0,4.0,RB,USA
19,Nashville,TN,36.1715,-86.7843,4362800,Rutger,Reitmaier,265.0,75.0,94.0,3.0,DL,USA
20,Nashville,TN,36.1715,-86.7843,3917618,Cam,Watkins,203.0,72.0,31.0,4.0,DB,USA
21,Nashville,TN,36.1715,-86.7843,4242652,Brayden,DeVault-Smith,234.0,75.0,12.0,3.0,LB,USA
22,Nashville,TN,36.1715,-86.7843,4567541,Donald,Fitzgerald,300.0,80.0,71.0,1.0,OL,USA
23,Nashville,TN,36.1715,-86.7843,4567545,Jayden,Harrison,192.0,70.0,88.0,1.0,WR,USA
24,Nashville,TN,36.1715,-86.7843,4259473,Keithian,Starling,184.0,72.0,46.0,4.0,WR,USA
25,Nashville,TN,36.1715,-86.7843,-1040661,Cam,Watkins,203.0,72.0,31.0,,DB,USA
26,Memphis,TN,35.1046,-89.9773,4567537,Christian,James,255.0,76.0,44.0,1.0,DL,USA
27,Memphis,TN,35.1046,-89.9773,4567532,Devin,Boddie Jr.,178.0,71.0,14.0,1.0,WR,USA
28,New Orleans,LA,30.0687,-89.9288,4035274,Kenny,Hebert,232.0,76.0,21.0,4.0,LB,USA
29,New Orleans,LA,30.0687,-89.9288,4035277,Kalija,Lipscomb,201.0,73.0,16.0,4.0,WR,USA
30,Oklahoma City,OK,35.4676,-97.5137,4372555,Sean,Sadler,238.0,75.0,79.0,3.0,DL,USA
31,Honolulu,HI,21.3294,-157.846,4242649,Jonah,Buchanan,285.0,76.0,61.0,3.0,OL,USA
32,Birmingham,AL,33.5277,-86.7987,4567530,JR,Tran-Reno,206.0,73.0,9.0,1.0,RB,USA
33,Grand Rapids,MI,42.9615,-85.6557,4372549,Jack,Bowen,185.0,72.0,12.0,3.0,QB,USA
34,Staten Island,NY,40.5834,-74.1496,4362789,Dan,Dawkins,305.0,75.0,72.0,2.0,OL,USA
35,Staten Island,NY,40.5834,-74.1496,-1040593,Dan,Dawkins,305.0,75.0,72.0,,OL,USA
36,Chattanooga,TN,35.0657,-85.2487,4362791,Brendon,Harris,208.0,73.0,13.0,2.0,S,USA
37,Oxnard,CA,34.1962,-119.1819,4242660,Michael,Owusu,238.0,77.0,88.0,3.0,LB,USA
38,Mobile,AL,30.6782,-88.1163,4259457,Cameron,Robinson,290.0,72.0,66.0,4.0,DL,USA
39,Huntsville,AL,34.6988,-86.6412,4360240,Malik,Langham,290.0,77.0,35.0,2.0,DL,USA
40,Canton,OH,40.8076,-81.3678,3927992,Eddie,Zinn-Turner,315.0,73.0,34.0,4.0,DL,USA
41,Chandler,AZ,33.2827,-111.8517,3915770,Caleb,Peart,235.0,73.0,9.0,4.0,LB,USA
42,Scottsdale,AZ,33.6872,-111.8651,4372558,Kyle,White,210.0,72.0,35.0,3.0,TE,USA
43,Winter Haven,FL,28.0118,-81.7017,4362796,Ja'Veon,Marlow,190.0,71.0,3.0,2.0,RB,USA
44,Irving,TX,32.8584,-96.9702,4242659,Dayo,Odeyingbo,280.0,78.0,10.0,4.0,DL,USA
