,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Chicago,IL,41.8373,-87.6862,4567105,Jahleel,Billingsley,228.0,76.0,19.0,2.0,TE,USA,Alabama,#690014,SEC
1,Miami,FL,25.7839,-80.2102,4372020,Josh,Jobe,189.0,73.0,28.0,3.0,DB,USA,Alabama,#690014,SEC
2,Philadelphia,PA,40.0077,-75.1339,4372030,Christian,Barmore,310.0,77.0,58.0,2.0,DL,USA,Alabama,#690014,SEC
3,Houston,TX,29.7869,-95.3905,4372016,Jaylen,Waddle,182.0,70.0,17.0,3.0,WR,USA,Alabama,#690014,SEC
4,Houston,TX,29.7869,-95.3905,4567109,Marcus,Banks,170.0,72.0,26.0,2.0,DB,USA,Alabama,#690014,SEC
5,Washington,DC,38.9047,-77.0163,4567111,DeMarcco,Hellams,213.0,73.0,29.0,2.0,DB,USA,Alabama,#690014,SEC
6,Washington,DC,38.9047,-77.0163,4040968,Terrell,Lewis,252.0,77.0,24.0,3.0,LB,USA,Alabama,#690014,SEC
7,Washington,DC,38.9047,-77.0163,4567095,Keilan,Robinson,190.0,69.0,2.0,2.0,RB,USA,Alabama,#690014,SEC
8,Pittsburgh,PA,40.4396,-79.9763,4567137,Grant,Krieger,192.0,74.0,89.0,2.0,WR,USA,Alabama,#690014,SEC
9,Indianapolis,IN,39.7771,-86.1458,4372028,Emil,Ekiyor Jr.,327.0,75.0,55.0,2.0,OL,USA,Alabama,#690014,SEC
10,Indianapolis,IN,39.7771,-86.1458,4567103,Jayden,George,192.0,75.0,16.0,2.0,QB,USA,Alabama,#690014,SEC
11,Jacksonville,FL,30.3322,-81.6749,4241464,Mac,Jones,205.0,74.0,10.0,3.0,QB,USA,Alabama,#690014,SEC
12,Salt Lake City,UT,40.7774,-111.93,4372026,Cameron,Latu,247.0,77.0,81.0,2.0,TE,USA,Alabama,#690014,SEC
13,Memphis,TN,35.1046,-89.9773,4567136,Richard,Hunt,235.0,79.0,83.0,2.0,TE,USA,Alabama,#690014,SEC
14,Memphis,TN,35.1046,-89.9773,3925353,Joshua,McMillon,237.0,75.0,40.0,4.0,LB,USA,Alabama,#690014,SEC
15,Honolulu,HI,21.3294,-157.846,4035872,Drew,Kobayashi,200.0,74.0,85.0,4.0,WR,USA,Alabama,#690014,SEC
16,Birmingham,AL,33.5277,-86.7987,4372013,Braxton,Barker,202.0,73.0,7.0,2.0,QB,USA,Alabama,#690014,SEC
17,Birmingham,AL,33.5277,-86.7987,4241459,Mac,Hereford,210.0,73.0,16.0,4.0,WR,USA,Alabama,#690014,SEC
18,Sarasota,FL,27.3386,-82.543,4567127,Julian,Lowenstein,201.0,72.0,49.0,2.0,LB,USA,Alabama,#690014,SEC
19,Baton Rouge,LA,30.4419,-91.131,4567099,Christian,Harris,244.0,74.0,8.0,2.0,LB,USA,Alabama,#690014,SEC
20,Baton Rouge,LA,30.4419,-91.131,4241446,Christopher,Allen,250.0,76.0,4.0,3.0,LB,USA,Alabama,#690014,SEC
21,Baton Rouge,LA,30.4419,-91.131,4241471,Dylan,Moses,235.0,75.0,32.0,4.0,LB,USA,Alabama,#690014,SEC
22,Reno,NV,39.5497,-119.8483,4361090,Ale,Kaho,228.0,73.0,10.0,3.0,LB,USA,Alabama,#690014,SEC
23,Arlington,TX,32.6998,-97.1251,4040718,Chris,Owens,315.0,75.0,79.0,4.0,OL,USA,Alabama,#690014,SEC
24,Pensacola,FL,30.4427,-87.1886,4241466,Alex,Leatherwood,310.0,78.0,70.0,4.0,OL,USA,Alabama,#690014,SEC
25,Santa Ana,CA,33.7366,-117.8819,4372033,Tommy,Brown,317.0,79.0,75.0,2.0,OL,USA,Alabama,#690014,SEC
26,Mobile,AL,30.6782,-88.1163,4372017,Jalyn,Armour-Davis,182.0,73.0,5.0,2.0,DB,USA,Alabama,#690014,SEC
27,Mobile,AL,30.6782,-88.1163,4567116,Eric,Poellnitz,170.0,71.0,38.0,1.0,WR,USA,Alabama,#690014,SEC
28,Mobile,AL,30.6782,-88.1163,4567141,Jack,Martin,206.0,72.0,95.0,2.0,P,USA,Alabama,#690014,SEC
29,Lexington,KY,38.0423,-84.4587,4241482,Jedrick,Wills Jr.,320.0,77.0,74.0,3.0,OL,USA,Alabama,#690014,SEC
30,Huntsville,AL,34.6988,-86.6412,4372032,Jackson,Roby,285.0,77.0,62.0,3.0,OL,USA,Alabama,#690014,SEC
31,Huntsville,AL,34.6988,-86.6412,4360121,William,Cooper,229.0,74.0,55.0,3.0,LB,USA,Alabama,#690014,SEC
32,Huntsville,AL,34.6988,-86.6412,4360125,John,Parker,190.0,72.0,83.0,4.0,WR,USA,Alabama,#690014,SEC
33,Huntsville,AL,34.6988,-86.6412,4567118,Loren,Ugheoke,183.0,70.0,39.0,4.0,DB,USA,Alabama,#690014,SEC
34,Huntsville,AL,34.6988,-86.6412,4372034,Michael,Parker,216.0,78.0,80.0,2.0,TE,USA,Alabama,#690014,SEC
35,Huntsville,AL,34.6988,-86.6412,4567139,Tripp,Slyman,180.0,73.0,93.0,2.0,PK,USA,Alabama,#690014,SEC
36,Antioch,CA,37.9789,-121.7957,4241457,Najee,Harris,230.0,74.0,22.0,4.0,RB,USA,Alabama,#690014,SEC
37,Montgomery,AL,32.3473,-86.2666,4241475,Henry,Ruggs III,190.0,72.0,11.0,3.0,WR,USA,Alabama,#690014,SEC
38,Montgomery,AL,32.3473,-86.2666,4567108,DJ,Douglas,202.0,72.0,20.0,2.0,DB,USA,Alabama,#690014,SEC
39,Montgomery,AL,32.3473,-86.2666,4567113,Michael,Collins,173.0,70.0,31.0,4.0,DB,USA,Alabama,#690014,SEC
40,Hickory,NC,35.7426,-81.323,4035624,Landon,Dickerson,308.0,78.0,69.0,4.0,OL,USA,Alabama,#690014,SEC
41,Huntington Beach,CA,33.696,-118.0025,4241483,Taylor,Wilson,232.0,72.0,96.0,4.0,DL,USA,Alabama,#690014,SEC
42,Fort Lauderdale,FL,26.1412,-80.1464,4567126,Braylen,Ingraham,289.0,76.0,52.0,1.0,DL,USA,Alabama,#690014,SEC
43,Fort Lauderdale,FL,26.1412,-80.1464,4241484,Daniel,Wright,190.0,73.0,3.0,3.0,DB,USA,Alabama,#690014,SEC
44,Fort Lauderdale,FL,26.1412,-80.1464,4567098,Jordan,Battle,201.0,73.0,9.0,2.0,DB,USA,Alabama,#690014,SEC
45,Cary,NC,35.7817,-78.8175,4372024,Sean,Kelly,190.0,71.0,38.0,4.0,DB,USA,Alabama,#690014,SEC
46,Tuscaloosa,AL,33.2348,-87.5266,4241474,Brian,Robinson Jr.,226.0,73.0,4.0,4.0,RB,USA,Alabama,#690014,SEC
47,Tuscaloosa,AL,33.2348,-87.5266,4050499,Joshua,Lanier,160.0,71.0,84.0,4.0,WR,USA,Alabama,#690014,SEC
48,Tuscaloosa,AL,33.2348,-87.5266,4567117,Jahi,Brown,223.0,72.0,39.0,3.0,RB,USA,Alabama,#690014,SEC
49,Tuscaloosa,AL,33.2348,-87.5266,4567124,Gabe,Pugh,273.0,77.0,50.0,1.0,LS,USA,Alabama,#690014,SEC
50,Hollywood,FL,26.0294,-80.1679,4372015,Xavier,Williams,195.0,73.0,3.0,2.0,WR,USA,Alabama,#690014,SEC
51,Lewisville,TX,33.0452,-96.9823,4241476,Tyrell,Shavers,200.0,78.0,9.0,3.0,WR,USA,Alabama,#690014,SEC
52,Deerfield Beach,FL,26.3049,-80.1277,4241463,Jerry,Jeudy,192.0,73.0,4.0,3.0,WR,USA,Alabama,#690014,SEC
53,Milpitas,CA,37.434,-121.8921,4372036,Tevita,Musika,338.0,73.0,91.0,4.0,DL,USA,Alabama,#690014,SEC
54,Gaithersburg,MD,39.1346,-77.2132,4040966,Trevon,Diggs,207.0,74.0,7.0,4.0,DB,USA,Alabama,#690014,SEC
55,Ewa Beach,HI,21.3181,-158.0073,4567097,Taulia,Tagovailoa,208.0,71.0,3.0,2.0,QB,USA,Alabama,#690014,SEC
56,Ewa Beach,HI,21.3181,-158.0073,4241479,Tua,Tagovailoa,218.0,73.0,13.0,3.0,QB,USA,Alabama,#690014,SEC
57,Roswell,GA,34.0391,-84.3513,4241470,Xavier,McKinney,200.0,73.0,15.0,3.0,DB,USA,Alabama,#690014,SEC
58,Mandeville,LA,30.375,-90.0906,4241452,Joseph,Bulovas,203.0,72.0,97.0,3.0,PK,USA,Alabama,#690014,SEC
59,Plantation,FL,26.126,-80.2617,4372012,Patrick,Surtain II,203.0,74.0,2.0,3.0,DB,USA,Alabama,#690014,SEC
60,Slidell,LA,30.2881,-89.7826,4372018,Eddie,Smith,196.0,72.0,15.0,2.0,DB,USA,Alabama,#690014,SEC
61,Sugar Land,TX,29.5935,-95.6357,4360126,Connor,Adams,194.0,73.0,86.0,4.0,WR,USA,Alabama,#690014,SEC
62,Hoover,AL,33.3754,-86.8065,4567104,Will,Reichard,180.0,73.0,16.0,2.0,PK,USA,Alabama,#690014,SEC
63,Hoover,AL,33.3754,-86.8065,4567110,Joshua,Robinson,180.0,69.0,27.0,3.0,DB,USA,Alabama,#690014,SEC
64,Anderson,SC,34.5212,-82.6478,4360127,Stephon,Wynn Jr.,311.0,76.0,90.0,2.0,DL,USA,Alabama,#690014,SEC
65,Waldorf,MD,38.6085,-76.9195,4372021,Jalen,Jackson,186.0,75.0,32.0,4.0,WR,USA,Alabama,#690014,SEC
66,Georgetown,TX,30.6668,-97.6953,4241455,Thomas,Fletcher,220.0,74.0,45.0,4.0,LS,USA,Alabama,#690014,SEC
67,Mansfield,TX,32.569,-97.1211,4567100,Scooby,Carter,186.0,72.0,11.0,1.0,DB,USA,Alabama,#690014,SEC
68,Decatur,AL,34.573,-86.9905,4040962,Deonte,Brown,338.0,76.0,65.0,4.0,OL,USA,Alabama,#690014,SEC
69,Cartersville,GA,34.1632,-84.8007,4040714,Miller,Forristall,242.0,77.0,87.0,4.0,TE,USA,Alabama,#690014,SEC
70,Madison,AL,34.7114,-86.7626,4241473,LaBryan,Ray,292.0,77.0,89.0,3.0,DL,USA,Alabama,#690014,SEC
71,Madison,AL,34.7114,-86.7626,3927185,Mike,Bernier,219.0,74.0,98.0,4.0,P,USA,Alabama,#690014,SEC
72,Madison,AL,34.7114,-86.7626,4241472,Kendall,Randolph,296.0,76.0,60.0,3.0,OL,USA,Alabama,#690014,SEC
73,Columbia,TN,35.6236,-87.0487,4360118,De'Marquise,Lockridge,216.0,71.0,35.0,4.0,RB,USA,Alabama,#690014,SEC
74,Meridian,MS,32.3846,-88.6897,4040965,Raekwon,Davis,312.0,79.0,99.0,4.0,DL,USA,Alabama,#690014,SEC
75,Phenix City,AL,32.4588,-85.0251,4241449,Markail,Benton,235.0,74.0,36.0,2.0,LB,USA,Alabama,#690014,SEC
76,Prattville,AL,32.4605,-86.4588,4567143,Ty,Perine,190.0,73.0,99.0,2.0,PK,USA,Alabama,#690014,SEC
77,Vestavia Hills,AL,33.4518,-86.7438,4567107,Cooper,Bishop,195.0,72.0,35.0,2.0,RB,USA,Alabama,#690014,SEC
78,Alabaster,AL,33.2198,-86.8226,4567119,Kyle,Smoak,160.0,68.0,41.0,1.0,WR,USA,Alabama,#690014,SEC
79,Alabaster,AL,33.2198,-86.8226,4567135,Amari,Kight,302.0,79.0,78.0,1.0,OL,USA,Alabama,#690014,SEC
80,Oxford,MS,34.3609,-89.5286,4567101,Brandon,Turnage,185.0,73.0,7.0,1.0,DB,USA,Alabama,#690014,SEC
81,Opelika,AL,32.6621,-85.3772,4574868,Melvin,Billingsley,230.0,75.0,46.0,3.0,TE,USA,Alabama,#690014,SEC
82,Laurel,MS,31.6956,-89.1448,4567123,Byron,Young,295.0,75.0,47.0,2.0,DL,USA,Alabama,#690014,SEC
83,Sachse,TX,32.9726,-96.5793,4040975,Jared,Mayden,205.0,72.0,21.0,4.0,DB,USA,Alabama,#690014,SEC
84,Okeechobee,FL,27.2414,-80.8298,4567134,Evan,Neal,360.0,79.0,73.0,2.0,OL,USA,Alabama,#690014,SEC
85,Northport,AL,33.2589,-87.5985,4360123,Preston,Malone,222.0,71.0,52.0,3.0,LB,USA,Alabama,#690014,SEC
86,Conway,SC,33.8403,-79.0422,4372025,Jaylen,Moody,228.0,74.0,42.0,3.0,LB,USA,Alabama,#690014,SEC
87,Trussville,AL,33.6404,-86.5818,4567130,Rowdy,Garza,312.0,76.0,63.0,2.0,OL,USA,Alabama,#690014,SEC
88,Trussville,AL,33.6404,-86.5818,4567133,Pierce,Quick,291.0,77.0,72.0,1.0,OL,USA,Alabama,#690014,SEC
89,Trussville,AL,33.6404,-86.5818,4567102,Paul,Tyson,220.0,77.0,15.0,1.0,QB,USA,Alabama,#690014,SEC
90,Fairhope,AL,30.522,-87.8816,4372027,Wes,Baumhower,212.0,72.0,25.0,2.0,LB,USA,Alabama,#690014,SEC
91,Mountain Brook,AL,33.4871,-86.74,4567114,A.J.,Gates,170.0,67.0,31.0,1.0,RB,USA,Alabama,#690014,SEC
92,Mountain Brook,AL,33.4871,-86.74,4567120,Sam,Reed,165.0,73.0,42.0,2.0,WR,USA,Alabama,#690014,SEC
93,Mountain Brook,AL,33.4871,-86.74,4372029,Joe,Donald,216.0,75.0,57.0,4.0,LB,USA,Alabama,#690014,SEC
94,Forest Park,GA,33.6209,-84.359,4567138,Justin,Eboigbe,294.0,77.0,92.0,2.0,DL,USA,Alabama,#690014,SEC
95,Cullman,AL,34.1777,-86.8399,4241450,Hunter,Brannon,307.0,76.0,50.0,2.0,OL,USA,Alabama,#690014,SEC
96,Fort Mill,SC,35.0062,-80.9388,4360112,Skyler,DeLong,188.0,76.0,12.0,3.0,P,USA,Alabama,#690014,SEC
97,Colonia,NJ,40.5929,-74.3151,4567128,Antonio,Alfano,285.0,77.0,9.0,1.0,DE,USA,Alabama,#690014,SEC
98,Perry,GA,32.4718,-83.728,4241447,Giles,Amos,245.0,76.0,85.0,4.0,TE,USA,Alabama,#690014,SEC
99,Hernando,MS,34.85,-89.9921,3925361,Matt,Womack,325.0,79.0,77.0,4.0,OL,USA,Alabama,#690014,SEC
100,Saraland,AL,30.8457,-88.099,4567129,Jake,Hall,207.0,75.0,59.0,2.0,LS,USA,Alabama,#690014,SEC
101,Muscle Shoals,AL,34.7435,-87.6343,4574866,Carson,Ware,190.0,73.0,39.0,2.0,DB,USA,Alabama,#690014,SEC
102,Glasgow,KY,37.0047,-85.9263,4567125,Tanner,Bowles,280.0,77.0,51.0,1.0,OL,USA,Alabama,#690014,SEC
103,West Monroe,LA,32.512,-92.1513,4360115,Slade,Bolden,191.0,71.0,18.0,2.0,WR,USA,Alabama,#690014,SEC
104,Loganville,GA,33.8353,-83.8957,4567122,Kevin,Harris II,222.0,76.0,44.0,1.0,LB,USA,Alabama,#690014,SEC
105,Burtonsville,MD,39.1166,-76.9356,4567115,Shane,Lee,246.0,72.0,35.0,2.0,LB,USA,Alabama,#690014,SEC
106,Seffner,FL,27.9981,-82.2735,4372019,Jerome,Ford,213.0,71.0,24.0,1.0,RB,USA,Alabama,#690014,SEC
107,Pinson,AL,33.7057,-86.6674,4567140,DJ,Dale,308.0,75.0,94.0,2.0,DL,USA,Alabama,#690014,SEC
108,West Point,MS,33.6064,-88.6571,4040971,Scott,Lashley,315.0,79.0,78.0,4.0,OL,USA,Alabama,#690014,SEC
109,Fellsmere,FL,27.7241,-80.5974,4360114,Jarez,Parks,239.0,76.0,23.0,2.0,LB,USA,Alabama,#690014,SEC
110,Oneonta,AL,33.9391,-86.4929,4574867,Landon,Bothwell,220.0,71.0,96.0,2.0,DL,USA,Alabama,#690014,SEC
