,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Miami,FL,25.7839,-80.2102,4240602,Shawn,Davis,185.0,71.0,31.0,3.0,DB,USA,Florida,#0021A5,SEC
1,Miami,FL,25.7839,-80.2102,4240596,CJ,Henderson,202.0,73.0,1.0,3.0,DB,USA,Florida,#0021A5,SEC
2,Miami,FL,25.7839,-80.2102,4240605,Lacedrick,Brunson,229.0,73.0,34.0,2.0,LB,USA,Florida,#0021A5,SEC
3,Miami,FL,25.7839,-80.2102,4240618,Kemore,Gamble,241.0,75.0,88.0,2.0,TE,USA,Florida,#0021A5,SEC
4,Miami,FL,25.7839,-80.2102,4259442,Andres,Saldivar,230.0,74.0,86.0,4.0,TE,USA,Florida,#0021A5,SEC
5,Miami,FL,25.7839,-80.2102,4034947,C.J.,McWilliams,184.0,71.0,12.0,3.0,DB,USA,Florida,#0021A5,SEC
6,Houston,TX,29.7869,-95.3905,4240599,Donovan,Stiner,203.0,73.0,13.0,3.0,DB,USA,Florida,#0021A5,SEC
7,Houston,TX,29.7869,-95.3905,4034964,Tyrie,Cleveland,205.0,74.0,89.0,4.0,WR,USA,Florida,#0021A5,SEC
8,Tampa,FL,27.9942,-82.4451,4240603,Malik,Davis,195.0,71.0,20.0,2.0,RB,USA,Florida,#0021A5,SEC
9,Tampa,FL,27.9942,-82.4451,4240619,Zachary,Carter,263.0,76.0,17.0,2.0,DL,USA,Florida,#0021A5,SEC
10,Tampa,FL,27.9942,-82.4451,4360246,Richard,Gouraige,298.0,76.0,76.0,1.0,OL,USA,Florida,#0021A5,SEC
11,Tampa,FL,27.9942,-82.4451,4360252,Jaylin,Jackson,172.0,68.0,42.0,1.0,WR,USA,Florida,#0021A5,SEC
12,Orlando,FL,28.4772,-81.3369,4360249,Dennis,Gross,225.0,78.0,87.0,4.0,TE,USA,Florida,#0021A5,SEC
13,Orlando,FL,28.4772,-81.3369,4505543,Clifford,Taylor IV,220.0,77.0,45.0,2.0,TE,USA,Florida,#0021A5,SEC
14,Orlando,FL,28.4772,-81.3369,4240621,Austin,Perry,169.0,70.0,47.0,2.0,DB,USA,Florida,#0021A5,SEC
15,Orlando,FL,28.4772,-81.3369,4394569,Daniel,Cross,158.0,73.0,33.0,1.0,WR,USA,Florida,#0021A5,SEC
16,Orlando,FL,28.4772,-81.3369,4360251,Moses,Gordon III,275.0,72.0,94.0,4.0,DL,USA,Florida,#0021A5,SEC
17,Orlando,FL,28.4772,-81.3369,3915398,Tommy,Townsend,176.0,74.0,43.0,4.0,P,USA,Florida,#0021A5,SEC
18,Orlando,FL,28.4772,-81.3369,4259438,Quaylin,Crum,216.0,69.0,52.0,2.0,LB,USA,Florida,#0021A5,SEC
19,Orlando,FL,28.4772,-81.3369,-1009630,Moses,Gordon III,275.0,72.0,94.0,,?,USA,Florida,#0021A5,SEC
20,Charlotte,NC,35.2079,-80.8304,4037535,Marlon,Dunlap Jr.,295.0,75.0,91.0,3.0,DL,USA,Florida,#0021A5,SEC
21,Charlotte,NC,35.2079,-80.8304,4240614,T.J.,Moore,305.0,77.0,75.0,2.0,OL,USA,Florida,#0021A5,SEC
22,Charlotte,NC,35.2079,-80.8304,-1009623,Marlon,Dunlap Jr.,295.0,75.0,91.0,,DL,USA,Florida,#0021A5,SEC
23,Jacksonville,FL,30.3322,-81.6749,4567410,Kingsley,Eguakun,294.0,76.0,65.0,1.0,OL,USA,Florida,#0021A5,SEC
24,Jacksonville,FL,30.3322,-81.6749,4043903,Jacob,Finn,210.0,75.0,18.0,3.0,P,USA,Florida,#0021A5,SEC
25,Jacksonville,FL,30.3322,-81.6749,4034963,Rick,Wells,202.0,72.0,83.0,3.0,WR,USA,Florida,#0021A5,SEC
26,Jacksonville,FL,30.3322,-81.6749,4259437,Isaac,Ricks,223.0,68.0,29.0,2.0,RB,USA,Florida,#0021A5,SEC
27,Richmond,VA,37.5295,-77.4756,4360253,Marco,Ortiz,232.0,76.0,40.0,1.0,LS,USA,Florida,#0021A5,SEC
28,New Orleans,LA,30.0687,-89.9288,4240594,Brad,Stewart Jr.,200.0,72.0,2.0,3.0,DB,USA,Florida,#0021A5,SEC
29,New Orleans,LA,30.0687,-89.9288,4567405,Chester,Kimbrough,172.0,71.0,25.0,1.0,DB,USA,Florida,#0021A5,SEC
30,New Orleans,LA,30.0687,-89.9288,-1009677,Brad,Stewart Jr.,200.0,72.0,2.0,,DB,USA,Florida,#0021A5,SEC
31,Pensacola,FL,30.4427,-87.1886,4360233,Jacob,Copeland,192.0,72.0,15.0,1.0,WR,USA,Florida,#0021A5,SEC
