,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Dallas,TX,32.7936,-96.7662,4362644,Jarell,Cherry,277.0,74.0,55.0,2.0,DE,USA,LSU,#22005c,SEC
1,Houston,TX,29.7869,-95.3905,4242208,Grant,Delpit,203.0,75.0,7.0,3.0,S,USA,LSU,#22005c,SEC
2,Houston,TX,29.7869,-95.3905,4242211,Kary,Vincent Jr.,189.0,70.0,5.0,4.0,S,USA,LSU,#22005c,SEC
3,Houston,TX,29.7869,-95.3905,4242205,K'Lavon,Chaisson,250.0,76.0,18.0,2.0,LB,USA,LSU,#22005c,SEC
4,Houston,TX,29.7869,-95.3905,4035438,Eric,Monroe,209.0,71.0,11.0,4.0,S,USA,LSU,#22005c,SEC
5,Houston,TX,29.7869,-95.3905,4568024,Josh,Williams,195.0,69.0,25.0,1.0,RB,USA,LSU,#22005c,SEC
6,Houston,TX,29.7869,-95.3905,4242219,Carlton,Smith,237.0,74.0,41.0,3.0,LB,USA,LSU,#22005c,SEC
7,Boston,MA,42.3188,-71.0846,4362648,Badara,Traore,320.0,79.0,74.0,4.0,OT,USA,LSU,#22005c,SEC
8,Phoenix,AZ,33.5722,-112.0891,4035441,Connor,Culp,187.0,70.0,34.0,3.0,PK,USA,LSU,#22005c,SEC
9,Charlotte,NC,35.2079,-80.8304,4036189,Thaddeus,Moss,249.0,75.0,81.0,3.0,TE,USA,LSU,#22005c,SEC
10,Salt Lake City,UT,40.7774,-111.93,4426440,Siaki,Ika,340.0,76.0,62.0,2.0,NT,USA,LSU,#22005c,SEC
11,Salt Lake City,UT,40.7774,-111.93,4568017,Soni,Fonua,268.0,75.0,53.0,3.0,LB,USA,LSU,#22005c,SEC
12,Nashville,TN,36.1715,-86.7843,4242206,Jacob,Phillips,233.0,76.0,6.0,3.0,LB,USA,LSU,#22005c,SEC
13,Memphis,TN,35.1046,-89.9773,4568005,Maurice,Hampton Jr.,215.0,72.0,14.0,2.0,S,USA,LSU,#22005c,SEC
14,New Orleans,LA,30.0687,-89.9288,4035449,Jamal,Pettigrew,254.0,79.0,80.0,4.0,TE,USA,LSU,#22005c,SEC
15,New Orleans,LA,30.0687,-89.9288,3843640,Lanard,Fournette,200.0,71.0,27.0,4.0,RB,USA,LSU,#22005c,SEC
16,New Orleans,LA,30.0687,-89.9288,4035433,Kristian,Fulton,200.0,72.0,1.0,4.0,CB,USA,LSU,#22005c,SEC
17,New Orleans,LA,30.0687,-89.9288,4568019,Cade,Comeaux,178.0,72.0,30.0,1.0,DB,USA,LSU,#22005c,SEC
18,New Orleans,LA,30.0687,-89.9288,4380519,Hunter,Faust,216.0,72.0,42.0,2.0,LB,USA,LSU,#22005c,SEC
19,New Orleans,LA,30.0687,-89.9288,4242231,Racey,McMath,224.0,75.0,17.0,4.0,WR,USA,LSU,#22005c,SEC
20,New Orleans,LA,30.0687,-89.9288,4035453,Andre,Anthony,255.0,75.0,46.0,4.0,LB,USA,LSU,#22005c,SEC
21,Fort Worth,TX,32.7812,-97.3472,4426373,Marcel,Brooks,205.0,75.0,9.0,2.0,LB,USA,LSU,#22005c,SEC
22,Honolulu,HI,21.3294,-157.846,3674831,Breiden,Fehoko,291.0,74.0,91.0,4.0,DL,USA,LSU,#22005c,SEC
23,Baton Rouge,LA,30.4419,-91.131,4242214,Clyde,Edwards-Helaire,209.0,68.0,22.0,3.0,RB,USA,LSU,#22005c,SEC
24,Baton Rouge,LA,30.4419,-91.131,4426434,Derek,Stingley Jr.,195.0,73.0,24.0,2.0,CB,USA,LSU,#22005c,SEC
25,Baton Rouge,LA,30.4419,-91.131,4362090,Mike,Williams,244.0,75.0,39.0,1.0,DE,USA,LSU,#22005c,SEC
26,Baton Rouge,LA,30.4419,-91.131,4568023,John Gordon,McKernan,186.0,74.0,14.0,1.0,QB,USA,LSU,#22005c,SEC
27,Baton Rouge,LA,30.4419,-91.131,4380515,Alex,Aucoin,180.0,72.0,29.0,1.0,WR,USA,LSU,#22005c,SEC
28,Baton Rouge,LA,30.4419,-91.131,-1016438,Mike,Williams,244.0,75.0,39.0,,DE,USA,LSU,#22005c,SEC
29,Baton Rouge,LA,30.4419,-91.131,4362636,Damone,Clark,245.0,75.0,35.0,3.0,LB,USA,LSU,#22005c,SEC
30,Baton Rouge,LA,30.4419,-91.131,4426475,Tyrion,Davis-Price,232.0,73.0,3.0,2.0,RB,USA,LSU,#22005c,SEC
31,Baton Rouge,LA,30.4419,-91.131,4426355,Kardell,Thomas,326.0,75.0,58.0,1.0,OL,USA,LSU,#22005c,SEC
32,Baton Rouge,LA,30.4419,-91.131,4568025,Brandon,Hubicz,202.0,73.0,83.0,1.0,TE,USA,LSU,#22005c,SEC
33,Baton Rouge,LA,30.4419,-91.131,4259682,Jared,Small,209.0,70.0,58.0,3.0,LB,USA,LSU,#22005c,SEC
34,Baton Rouge,LA,30.4419,-91.131,4242218,Aaron,Moffitt,237.0,74.0,42.0,3.0,TE,USA,LSU,#22005c,SEC
35,Jackson,MS,32.3163,-90.2124,4242230,Saahdiq,Charles,295.0,76.0,77.0,3.0,OT,USA,LSU,#22005c,SEC
36,Mobile,AL,30.6782,-88.1163,4242234,Neil,Farrell Jr.,319.0,76.0,92.0,4.0,DE,USA,LSU,#22005c,SEC
37,Shreveport,LA,32.4659,-93.7959,4362631,Micah,Baskerville,231.0,73.0,23.0,3.0,LB,USA,LSU,#22005c,SEC
