,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Dallas,TX,32.7936,-96.7662,4240900,Buddy,Johnson,230.0,74.0,1.0,4.0,LB,USA,Texas%20A%26M,#5C0025,SEC
1,Dallas,TX,32.7936,-96.7662,4570684,Brian,Williams,210.0,73.0,25.0,2.0,DB,USA,Texas%20A%26M,#5C0025,SEC
2,Dallas,TX,32.7936,-96.7662,4570699,Harrison,Hall,266.0,73.0,62.0,1.0,OL,USA,Texas%20A%26M,#5C0025,SEC
3,Dallas,TX,32.7936,-96.7662,4240916,Ke'undre,Azakytu,190.0,72.0,42.0,3.0,WR,USA,Texas%20A%26M,#5C0025,SEC
4,Dallas,TX,32.7936,-96.7662,4260029,Jake,Pagel,227.0,74.0,39.0,3.0,LS,USA,Texas%20A%26M,#5C0025,SEC
5,Houston,TX,29.7869,-95.3905,4240895,Jhamon,Ausbon,225.0,74.0,2.0,4.0,WR,USA,Texas%20A%26M,#5C0025,SEC
6,Houston,TX,29.7869,-95.3905,4240905,Josh,Rogers,290.0,77.0,99.0,3.0,DL,USA,Texas%20A%26M,#5C0025,SEC
7,Houston,TX,29.7869,-95.3905,4426459,Chase,Lane,190.0,72.0,16.0,1.0,WR,USA,Texas%20A%26M,#5C0025,SEC
8,Houston,TX,29.7869,-95.3905,4035239,Braden,Mann,195.0,71.0,34.0,4.0,P,USA,Texas%20A%26M,#5C0025,SEC
9,Houston,TX,29.7869,-95.3905,4035248,Keeath,Magee II,235.0,72.0,56.0,4.0,LB,USA,Texas%20A%26M,#5C0025,SEC
10,Houston,TX,29.7869,-95.3905,4570701,Tyler,Ondrusek,211.0,79.0,80.0,2.0,TE,USA,Texas%20A%26M,#5C0025,SEC
11,Houston,TX,29.7869,-95.3905,4570693,Ethan,West,170.0,70.0,47.0,1.0,WR,USA,Texas%20A%26M,#5C0025,SEC
12,Houston,TX,29.7869,-95.3905,4570697,Garrett,Townsend,215.0,71.0,58.0,1.0,LS,USA,Texas%20A%26M,#5C0025,SEC
13,Houston,TX,29.7869,-95.3905,4240910,Colton,Taylor,205.0,75.0,19.0,4.0,QB,USA,Texas%20A%26M,#5C0025,SEC
14,Houston,TX,29.7869,-95.3905,4035221,Quartney,Davis,200.0,74.0,1.0,3.0,WR,USA,Texas%20A%26M,#5C0025,SEC
15,Washington,DC,38.9047,-77.0163,4240897,Tyree,Johnson,250.0,76.0,3.0,3.0,DL,USA,Texas%20A%26M,#5C0025,SEC
